"","Gene","Annotation","Non.unique.Gene.name","sg_change_0","sg_change_1","ratio","gene.annotate","phage","hypothetical","transposase","caps","exclude"
"23","agaS","tagatose-6-phosphate ketose/aldose isomerase","",1,24,3.96694214876033,"AGAS TAGATOSE-6-PHOSPHATE KETOSE/ALDOSE ISOMERASE ",FALSE,FALSE,FALSE,0,0
"24","glpE","rhodanese-like domain-containing protein","",1,24,3.96694214876033,"GLPE RHODANESE-LIKE DOMAIN-CONTAINING PROTEIN ",FALSE,FALSE,FALSE,0,0
"25","group_13496","tagatose-6-phosphate ketose/aldose isomerase","agaS",1,24,3.96694214876033,"GROUP_13496 TAGATOSE-6-PHOSPHATE KETOSE/ALDOSE ISOMERASE AGAS",FALSE,FALSE,FALSE,0,0
"26","group_14104","Phage protein","",1,24,3.96694214876033,"GROUP_14104 PHAGE PROTEIN ",FALSE,FALSE,FALSE,0,0
"27","group_4163","Na+ ABC transporter ATP-binding protein","ecsA_2",1,24,3.96694214876033,"GROUP_4163 NA+ ABC TRANSPORTER ATP-BINDING PROTEIN ECSA_2",FALSE,FALSE,FALSE,0,0
"28","group_11654","cI repressor","immR",1,23,3.80165289256198,"GROUP_11654 CI REPRESSOR IMMR",FALSE,FALSE,FALSE,0,0
"29","group_13988","ABC transporter ATP-binding protein","",1,23,3.80165289256198,"GROUP_13988 ABC TRANSPORTER ATP-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"30","group_7373","gamma-glutamylcysteine synthetase putative","",1,23,3.80165289256198,"GROUP_7373 GAMMA-GLUTAMYLCYSTEINE SYNTHETASE PUTATIVE ",FALSE,FALSE,FALSE,0,0
"31","group_8013","phosphoglycerate mutase","gpmA_2",1,23,3.80165289256198,"GROUP_8013 PHOSPHOGLYCERATE MUTASE GPMA_2",FALSE,FALSE,FALSE,0,0
"32","group_126","chlorohydrolase","",2,45,3.71900826446281,"GROUP_126 CHLOROHYDROLASE ",FALSE,FALSE,FALSE,0,0
"33","cbiO_1","putative histone acetyltransferase","",1,22,3.63636363636364,"CBIO_1 PUTATIVE HISTONE ACETYLTRANSFERASE ",FALSE,FALSE,FALSE,0,0
"34","group_1836","MarR family transcriptional regulator","ohrR",1,22,3.63636363636364,"GROUP_1836 MARR FAMILY TRANSCRIPTIONAL REGULATOR OHRR",FALSE,FALSE,FALSE,0,0
"35","group_6350","glyoxalase family protein","catE",1,22,3.63636363636364,"GROUP_6350 GLYOXALASE FAMILY PROTEIN CATE",FALSE,FALSE,FALSE,0,0
"36","group_8439","putative transcriptional regulator MtlR","",1,22,3.63636363636364,"GROUP_8439 PUTATIVE TRANSCRIPTIONAL REGULATOR MTLR ",FALSE,FALSE,FALSE,0,0
"37","group_9036","putative histone acetyltransferase","",1,22,3.63636363636364,"GROUP_9036 PUTATIVE HISTONE ACETYLTRANSFERASE ",FALSE,FALSE,FALSE,0,0
"38","group_3460","helix-turn-helix domain protein","",2,43,3.55371900826446,"GROUP_3460 HELIX-TURN-HELIX DOMAIN PROTEIN ",FALSE,FALSE,FALSE,0,0
"39","group_8064","S1 RNA-binding domain-containing protein","yhgF",2,42,3.47107438016529,"GROUP_8064 S1 RNA-BINDING DOMAIN-CONTAINING PROTEIN YHGF",FALSE,FALSE,FALSE,0,0
"40","group_11006","HAD superfamily hydrolase","yfnB",1,21,3.47107438016529,"GROUP_11006 HAD SUPERFAMILY HYDROLASE YFNB",FALSE,FALSE,FALSE,0,0
"41","group_11007","HAD superfamily hydrolase","yfnB",1,21,3.47107438016529,"GROUP_11007 HAD SUPERFAMILY HYDROLASE YFNB",FALSE,FALSE,FALSE,0,0
"42","group_15458","bacteriocin","",1,21,3.47107438016529,"GROUP_15458 BACTERIOCIN ",FALSE,FALSE,FALSE,0,0
"43","group_1581","Tn5253 bacteriocine putative","",1,21,3.47107438016529,"GROUP_1581 TN5253 BACTERIOCINE PUTATIVE ",FALSE,FALSE,FALSE,0,0
"44","group_3338","binding-protein-dependent transport systems inner membrane component","",1,21,3.47107438016529,"GROUP_3338 BINDING-PROTEIN-DEPENDENT TRANSPORT SYSTEMS INNER MEMBRANE COMPONENT ",FALSE,FALSE,FALSE,0,0
"45","group_3425","acetyltransferase gnat family","ydaF_5",1,21,3.47107438016529,"GROUP_3425 ACETYLTRANSFERASE GNAT FAMILY YDAF_5",FALSE,FALSE,FALSE,0,0
"46","group_5260","LysM domain protein","xlyA",1,21,3.47107438016529,"GROUP_5260 LYSM DOMAIN PROTEIN XLYA",FALSE,FALSE,FALSE,0,0
"47","group_7631","surface protein (fragment)","iga_1",1,21,3.47107438016529,"GROUP_7631 SURFACE PROTEIN (FRAGMENT) IGA_1",FALSE,FALSE,FALSE,0,0
"48","group_6257","lipoprotein putative","aliB2",2,40,3.30578512396694,"GROUP_6257 LIPOPROTEIN PUTATIVE ALIB2",FALSE,FALSE,FALSE,0,0
"49","acpP_2","acyl carrier protein","",1,20,3.30578512396694,"ACPP_2 ACYL CARRIER PROTEIN ",FALSE,FALSE,FALSE,0,0
"50","group_12590","lactose-specific phosphotransferase EIIA","lacF_2",1,20,3.30578512396694,"GROUP_12590 LACTOSE-SPECIFIC PHOSPHOTRANSFERASE EIIA LACF_2",FALSE,FALSE,FALSE,0,0
"51","group_3097","ABC transporter ATP-binding protein","malK_1",1,20,3.30578512396694,"GROUP_3097 ABC TRANSPORTER ATP-BINDING PROTEIN MALK_1",FALSE,FALSE,FALSE,0,0
"52","group_3223","choline binding protein G","cbpG",1,20,3.30578512396694,"GROUP_3223 CHOLINE BINDING PROTEIN G CBPG",FALSE,FALSE,FALSE,0,0
"53","group_4753","Sua5/YciO/YrdC family protein","rimN",1,20,3.30578512396694,"GROUP_4753 SUA5/YCIO/YRDC FAMILY PROTEIN RIMN",FALSE,FALSE,FALSE,0,0
"54","group_8293","6-phospho-beta-galactosidase","lacG_1",1,20,3.30578512396694,"GROUP_8293 6-PHOSPHO-BETA-GALACTOSIDASE LACG_1",FALSE,FALSE,FALSE,0,0
"55","yheI_2","ABC transporter ATP-binding protein/permease","",1,20,3.30578512396694,"YHEI_2 ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE ",FALSE,FALSE,FALSE,0,0
"56","group_6469","Leader peptidase","",2,38,3.14049586776859,"GROUP_6469 LEADER PEPTIDASE ",FALSE,FALSE,FALSE,0,0
"57","cls","cardiolipin synthase","",1,19,3.14049586776859,"CLS CARDIOLIPIN SYNTHASE ",FALSE,FALSE,FALSE,0,0
"58","group_13455","cardiolipin synthase","cls",1,19,3.14049586776859,"GROUP_13455 CARDIOLIPIN SYNTHASE CLS",FALSE,FALSE,FALSE,0,0
"59","group_13472","glycerol-3-phosphate dehydrogenase (NAD(P)+)","gpdA",1,19,3.14049586776859,"GROUP_13472 GLYCEROL-3-PHOSPHATE DEHYDROGENASE (NAD(P)+) GPDA",FALSE,FALSE,FALSE,0,0
"60","group_19588","repressor","",1,19,3.14049586776859,"GROUP_19588 REPRESSOR ",FALSE,FALSE,FALSE,0,0
"61","group_19589","repressor protein","",1,19,3.14049586776859,"GROUP_19589 REPRESSOR PROTEIN ",FALSE,FALSE,FALSE,0,0
"62","group_2520","serine/threonine protein kinase","",1,19,3.14049586776859,"GROUP_2520 SERINE/THREONINE PROTEIN KINASE ",FALSE,FALSE,FALSE,0,0
"63","group_8123","acyl carrier protein","acpP_2",1,19,3.14049586776859,"GROUP_8123 ACYL CARRIER PROTEIN ACPP_2",FALSE,FALSE,FALSE,0,0
"64","group_8342","cysteine synthase","cysK",1,19,3.14049586776859,"GROUP_8342 CYSTEINE SYNTHASE CYSK",FALSE,FALSE,FALSE,0,0
"65","mutR","transcriptional regulator","",1,19,3.14049586776859,"MUTR TRANSCRIPTIONAL REGULATOR ",FALSE,FALSE,FALSE,0,0
"66","ydaF_5","shikimate kinase","",1,19,3.14049586776859,"YDAF_5 SHIKIMATE KINASE ",FALSE,FALSE,FALSE,0,0
"67","cbpA","choline binding protein A","",2,37,3.05785123966942,"CBPA CHOLINE BINDING PROTEIN A ",FALSE,FALSE,FALSE,0,0
"68","group_4709","mutT/nudix family protein","",2,37,3.05785123966942,"GROUP_4709 MUTT/NUDIX FAMILY PROTEIN ",FALSE,FALSE,FALSE,0,0
"69","clpC_1","Group II intron maturase","",2,36,2.97520661157025,"CLPC_1 GROUP II INTRON MATURASE ",FALSE,FALSE,FALSE,0,0
"70","group_12666","DNA-binding response regulator","phoB",2,36,2.97520661157025,"GROUP_12666 DNA-BINDING RESPONSE REGULATOR PHOB",FALSE,FALSE,FALSE,0,0
"71","phoB","DNA-binding response regulator","",2,36,2.97520661157025,"PHOB DNA-BINDING RESPONSE REGULATOR ",FALSE,FALSE,FALSE,0,0
"72","gpdA","glycerol-3-phosphate dehydrogenase (NAD(P)+)","",1,18,2.97520661157025,"GPDA GLYCEROL-3-PHOSPHATE DEHYDROGENASE (NAD(P)+) ",FALSE,FALSE,FALSE,0,0
"73","group_10144","Zn-finger","",1,18,2.97520661157025,"GROUP_10144 ZN-FINGER ",FALSE,FALSE,FALSE,0,0
"74","group_10318","putative integral membrane protein","",1,18,2.97520661157025,"GROUP_10318 PUTATIVE INTEGRAL MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"75","group_10466","glutamine amidotransferase class I","",1,18,2.97520661157025,"GROUP_10466 GLUTAMINE AMIDOTRANSFERASE CLASS I ",FALSE,FALSE,FALSE,0,0
"76","group_4042","ABC transporter ATPase","",1,18,2.97520661157025,"GROUP_4042 ABC TRANSPORTER ATPASE ",FALSE,FALSE,FALSE,0,0
"77","group_4045","ABC transporter ATPase","",1,18,2.97520661157025,"GROUP_4045 ABC TRANSPORTER ATPASE ",FALSE,FALSE,FALSE,0,0
"78","group_4975","Plasmid pRiA4b ORF-3-like protein","",1,18,2.97520661157025,"GROUP_4975 PLASMID PRIA4B ORF-3-LIKE PROTEIN ",FALSE,FALSE,FALSE,0,0
"79","group_5930","polar amino acid ABC uptake transporter substrate binding protein","fliY",1,18,2.97520661157025,"GROUP_5930 POLAR AMINO ACID ABC UPTAKE TRANSPORTER SUBSTRATE BINDING PROTEIN FLIY",FALSE,FALSE,FALSE,0,0
"80","group_7413","glycosyl hydrolase family 20 (GH20) protein","bglK_1",1,18,2.97520661157025,"GROUP_7413 GLYCOSYL HYDROLASE FAMILY 20 (GH20) PROTEIN BGLK_1",FALSE,FALSE,FALSE,0,0
"81","group_7864","glycerol kinase","glpK",1,18,2.97520661157025,"GROUP_7864 GLYCEROL KINASE GLPK",FALSE,FALSE,FALSE,0,0
"82","group_8218","ABC transporter ATP-binding protein","yjjK",1,18,2.97520661157025,"GROUP_8218 ABC TRANSPORTER ATP-BINDING PROTEIN YJJK",FALSE,FALSE,FALSE,0,0
"83","group_9028","Helicase","",1,18,2.97520661157025,"GROUP_9028 HELICASE ",FALSE,FALSE,FALSE,0,0
"84","group_9030","Helicase","",1,18,2.97520661157025,"GROUP_9030 HELICASE ",FALSE,FALSE,FALSE,0,0
"85","group_985","chlorohydrolase","",1,18,2.97520661157025,"GROUP_985 CHLOROHYDROLASE ",FALSE,FALSE,FALSE,0,0
"86","nfrA2","nitroreductase NADPH-flavin oxidoreductase","",1,18,2.97520661157025,"NFRA2 NITROREDUCTASE NADPH-FLAVIN OXIDOREDUCTASE ",FALSE,FALSE,FALSE,0,0
"87","group_2983","putative Fe-S oxidoreductase","",2,35,2.89256198347107,"GROUP_2983 PUTATIVE FE-S OXIDOREDUCTASE ",FALSE,FALSE,FALSE,0,0
"88","group_4430","Group II intron maturase","clpC_1",2,34,2.8099173553719,"GROUP_4430 GROUP II INTRON MATURASE CLPC_1",FALSE,FALSE,FALSE,0,0
"89","group_14420","membrane associated protein","",1,17,2.8099173553719,"GROUP_14420 MEMBRANE ASSOCIATED PROTEIN ",FALSE,FALSE,FALSE,0,0
"90","group_14677","membrane associated protein","",1,17,2.8099173553719,"GROUP_14677 MEMBRANE ASSOCIATED PROTEIN ",FALSE,FALSE,FALSE,0,0
"91","group_3941","alanine dehydrogenase","ald_1",1,17,2.8099173553719,"GROUP_3941 ALANINE DEHYDROGENASE ALD_1",FALSE,FALSE,FALSE,0,0
"92","group_3947","alanine dehydrogenase","ald_1",1,17,2.8099173553719,"GROUP_3947 ALANINE DEHYDROGENASE ALD_1",FALSE,FALSE,FALSE,0,0
"93","group_5008","glycogen synthase","glgA",1,17,2.8099173553719,"GROUP_5008 GLYCOGEN SYNTHASE GLGA",FALSE,FALSE,FALSE,0,0
"94","group_5552","acetyltransferase","ydaF_4",1,17,2.8099173553719,"GROUP_5552 ACETYLTRANSFERASE YDAF_4",FALSE,FALSE,FALSE,0,0
"95","group_6162","methionyl-tRNA synthetase","tnpR",1,17,2.8099173553719,"GROUP_6162 METHIONYL-TRNA SYNTHETASE TNPR",FALSE,FALSE,FALSE,0,0
"96","group_8979","ABC transporter ATP-binding protein","fbpC",1,17,2.8099173553719,"GROUP_8979 ABC TRANSPORTER ATP-BINDING PROTEIN FBPC",FALSE,FALSE,FALSE,0,0
"97","group_8980","ABC transporter ATP-binding protein","fbpC",1,17,2.8099173553719,"GROUP_8980 ABC TRANSPORTER ATP-BINDING PROTEIN FBPC",FALSE,FALSE,FALSE,0,0
"98","group_9923","acetyltransferase","",1,17,2.8099173553719,"GROUP_9923 ACETYLTRANSFERASE ",FALSE,FALSE,FALSE,0,0
"99","ssb","single-strand binding protein","",1,17,2.8099173553719,"SSB SINGLE-STRAND BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"100","ydaF_4","acetyltransferase","",1,17,2.8099173553719,"YDAF_4 ACETYLTRANSFERASE ",FALSE,FALSE,FALSE,0,0
"101","dps","DPS family peroxide resistance protein","",1,16,2.64462809917355,"DPS DPS FAMILY PEROXIDE RESISTANCE PROTEIN ",FALSE,FALSE,FALSE,0,0
"102","group_10103","involved in transformation","",1,16,2.64462809917355,"GROUP_10103 INVOLVED IN TRANSFORMATION ",FALSE,FALSE,FALSE,0,0
"103","group_12259","bacteriocin BlpJ","blpK",1,16,2.64462809917355,"GROUP_12259 BACTERIOCIN BLPJ BLPK",FALSE,FALSE,FALSE,0,0
"104","group_14863","ROK family protein","mlc",1,16,2.64462809917355,"GROUP_14863 ROK FAMILY PROTEIN MLC",FALSE,FALSE,FALSE,0,0
"105","group_14939","Viral (Superfamily 1) RNA helicase","",1,16,2.64462809917355,"GROUP_14939 VIRAL (SUPERFAMILY 1) RNA HELICASE ",FALSE,FALSE,FALSE,0,0
"106","group_3421","conserved protein/domain typically associated with flavoprotein oxygenase Dim6/ntab family","ydaF_2",1,16,2.64462809917355,"GROUP_3421 CONSERVED PROTEIN/DOMAIN TYPICALLY ASSOCIATED WITH FLAVOPROTEIN OXYGENASE DIM6/NTAB FAMILY YDAF_2",FALSE,FALSE,FALSE,0,0
"107","group_5772","glycosyltransferase involved in cell wall biogenesis","kfoC_2",1,16,2.64462809917355,"GROUP_5772 GLYCOSYLTRANSFERASE INVOLVED IN CELL WALL BIOGENESIS KFOC_2",FALSE,FALSE,FALSE,0,0
"108","group_8294","6-phospho-beta-galactosidase","lacG_2",1,16,2.64462809917355,"GROUP_8294 6-PHOSPHO-BETA-GALACTOSIDASE LACG_2",FALSE,FALSE,FALSE,0,0
"109","nanM","N-acetylneuraminate epimerase precursor","",1,16,2.64462809917355,"NANM N-ACETYLNEURAMINATE EPIMERASE PRECURSOR ",FALSE,FALSE,FALSE,0,0
"110","rlmN","ribosomal RNA large subunit methyltransferase N","",1,16,2.64462809917355,"RLMN RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE N ",FALSE,FALSE,FALSE,0,0
"111","group_2984","radical SAM family protein","",2,31,2.56198347107438,"GROUP_2984 RADICAL SAM FAMILY PROTEIN ",FALSE,FALSE,FALSE,0,0
"112","group_483","Uncharacterized conserved protein","",2,31,2.56198347107438,"GROUP_483 UNCHARACTERIZED CONSERVED PROTEIN ",FALSE,FALSE,FALSE,0,0
"113","group_8789","ATP-dependent Zn protease","",3,46,2.53443526170799,"GROUP_8789 ATP-DEPENDENT ZN PROTEASE ",FALSE,FALSE,FALSE,0,0
"114","fabG2","chlorohydrolase/deaminase family protein","",2,30,2.47933884297521,"FABG2 CHLOROHYDROLASE/DEAMINASE FAMILY PROTEIN ",FALSE,FALSE,FALSE,0,0
"115","group_4627","Membrane protein","",2,30,2.47933884297521,"GROUP_4627 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"116","group_8861","DNA mismatch repair protein MutS","hexA",2,30,2.47933884297521,"GROUP_8861 DNA MISMATCH REPAIR PROTEIN MUTS HEXA",FALSE,FALSE,FALSE,0,0
"117","group_8991","V8-like Glu-specific endopeptidase","",2,30,2.47933884297521,"GROUP_8991 V8-LIKE GLU-SPECIFIC ENDOPEPTIDASE ",FALSE,FALSE,FALSE,0,0
"118","adhR","MerR family transcriptional regulator","",1,15,2.47933884297521,"ADHR MERR FAMILY TRANSCRIPTIONAL REGULATOR ",FALSE,FALSE,FALSE,0,0
"119","czcD","cation efflux system protein","",1,15,2.47933884297521,"CZCD CATION EFFLUX SYSTEM PROTEIN ",FALSE,FALSE,FALSE,0,0
"120","degA_2","LacI family transcriptional regulator","",1,15,2.47933884297521,"DEGA_2 LACI FAMILY TRANSCRIPTIONAL REGULATOR ",FALSE,FALSE,FALSE,0,0
"121","feuB","iron-compound ABC transporter permease","",1,15,2.47933884297521,"FEUB IRON-COMPOUND ABC TRANSPORTER PERMEASE ",FALSE,FALSE,FALSE,0,0
"122","gatA_1","phosphoenolpyruvate-dependent sugar phosphotransferase system","",1,15,2.47933884297521,"GATA_1 PHOSPHOENOLPYRUVATE-DEPENDENT SUGAR PHOSPHOTRANSFERASE SYSTEM ",FALSE,FALSE,FALSE,0,0
"123","glpR","regulatory protein","",1,15,2.47933884297521,"GLPR REGULATORY PROTEIN ",FALSE,FALSE,FALSE,0,0
"124","group_10102","involved in transformation","",1,15,2.47933884297521,"GROUP_10102 INVOLVED IN TRANSFORMATION ",FALSE,FALSE,FALSE,0,0
"125","group_10355","LacI family transcriptional regulator","degA_2",1,15,2.47933884297521,"GROUP_10355 LACI FAMILY TRANSCRIPTIONAL REGULATOR DEGA_2",FALSE,FALSE,FALSE,0,0
"126","group_10859","ABC transporter ATP-binding protein","yheS_2",1,15,2.47933884297521,"GROUP_10859 ABC TRANSPORTER ATP-BINDING PROTEIN YHES_2",FALSE,FALSE,FALSE,0,0
"127","group_10862","ABC transporter ATP-binding protein","yheS_3",1,15,2.47933884297521,"GROUP_10862 ABC TRANSPORTER ATP-BINDING PROTEIN YHES_3",FALSE,FALSE,FALSE,0,0
"128","group_12163","ABC transporter ATP-binding protein","proV_1",1,15,2.47933884297521,"GROUP_12163 ABC TRANSPORTER ATP-BINDING PROTEIN PROV_1",FALSE,FALSE,FALSE,0,0
"129","group_12168","transcriptional regulator MarR family","",1,15,2.47933884297521,"GROUP_12168 TRANSCRIPTIONAL REGULATOR MARR FAMILY ",FALSE,FALSE,FALSE,0,0
"130","group_12169","transcriptional regulator MarR family","",1,15,2.47933884297521,"GROUP_12169 TRANSCRIPTIONAL REGULATOR MARR FAMILY ",FALSE,FALSE,FALSE,0,0
"131","group_12231","daunorubicin resistance transmembrane protein","",1,15,2.47933884297521,"GROUP_12231 DAUNORUBICIN RESISTANCE TRANSMEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"132","group_12853","N-acetylneuraminate epimerase precursor","nanM",1,15,2.47933884297521,"GROUP_12853 N-ACETYLNEURAMINATE EPIMERASE PRECURSOR NANM",FALSE,FALSE,FALSE,0,0
"133","group_13642","ABC transporter permease","",1,15,2.47933884297521,"GROUP_13642 ABC TRANSPORTER PERMEASE ",FALSE,FALSE,FALSE,0,0
"134","group_14055","site-specific DNA recombinase","",1,15,2.47933884297521,"GROUP_14055 SITE-SPECIFIC DNA RECOMBINASE ",FALSE,FALSE,FALSE,0,0
"135","group_15589","dihydroorotate dehydrogenase 1A","pyrA",1,15,2.47933884297521,"GROUP_15589 DIHYDROOROTATE DEHYDROGENASE 1A PYRA",FALSE,FALSE,FALSE,0,0
"136","group_16195","double glycine cleavage site bacteriolysin superfamily","",1,15,2.47933884297521,"GROUP_16195 DOUBLE GLYCINE CLEAVAGE SITE BACTERIOLYSIN SUPERFAMILY ",FALSE,FALSE,FALSE,0,0
"137","group_18317","phosphotransferase system protein","gatB_1",1,15,2.47933884297521,"GROUP_18317 PHOSPHOTRANSFERASE SYSTEM PROTEIN GATB_1",FALSE,FALSE,FALSE,0,0
"138","group_19614","PTS system galactitol-specific transporter subunit IIC","gatC_1",1,15,2.47933884297521,"GROUP_19614 PTS SYSTEM GALACTITOL-SPECIFIC TRANSPORTER SUBUNIT IIC GATC_1",FALSE,FALSE,FALSE,0,0
"139","group_2641","PTS system galactose-specific transporter subunit IIB","lepA",1,15,2.47933884297521,"GROUP_2641 PTS SYSTEM GALACTOSE-SPECIFIC TRANSPORTER SUBUNIT IIB LEPA",FALSE,FALSE,FALSE,0,0
"140","group_3192","nitroreductase NADPH-flavin oxidoreductase","nfrA2",1,15,2.47933884297521,"GROUP_3192 NITROREDUCTASE NADPH-FLAVIN OXIDOREDUCTASE NFRA2",FALSE,FALSE,FALSE,0,0
"141","group_6101","protoheme ferro-lyase","hemH",1,15,2.47933884297521,"GROUP_6101 PROTOHEME FERRO-LYASE HEMH",FALSE,FALSE,FALSE,0,0
"142","group_6161","methionyl-tRNA synthetase","tnpR",1,15,2.47933884297521,"GROUP_6161 METHIONYL-TRNA SYNTHETASE TNPR",FALSE,FALSE,FALSE,0,0
"143","group_6575","transketolase c-terminal section","tktC",1,15,2.47933884297521,"GROUP_6575 TRANSKETOLASE C-TERMINAL SECTION TKTC",FALSE,FALSE,FALSE,0,0
"144","group_7346","arylsulfatase","",1,15,2.47933884297521,"GROUP_7346 ARYLSULFATASE ",FALSE,FALSE,FALSE,0,0
"145","group_7493","iron-compound ABC transporter permease","feuB",1,15,2.47933884297521,"GROUP_7493 IRON-COMPOUND ABC TRANSPORTER PERMEASE FEUB",FALSE,FALSE,FALSE,0,0
"146","group_9363","chlorohydrolase","",1,15,2.47933884297521,"GROUP_9363 CHLOROHYDROLASE ",FALSE,FALSE,FALSE,0,0
"147","group_9491","lipoprotein","",1,15,2.47933884297521,"GROUP_9491 LIPOPROTEIN ",FALSE,FALSE,FALSE,0,0
"148","group_9493","lipoprotein","",1,15,2.47933884297521,"GROUP_9493 LIPOPROTEIN ",FALSE,FALSE,FALSE,0,0
"149","kstR2","TetR family transcriptional regulator","",1,15,2.47933884297521,"KSTR2 TETR FAMILY TRANSCRIPTIONAL REGULATOR ",FALSE,FALSE,FALSE,0,0
"150","lacC","tagatose 6-phosphate kinase","",1,15,2.47933884297521,"LACC TAGATOSE 6-PHOSPHATE KINASE ",FALSE,FALSE,FALSE,0,0
"151","mtnB","class II aldolase/adducin","",1,15,2.47933884297521,"MTNB CLASS II ALDOLASE/ADDUCIN ",FALSE,FALSE,FALSE,0,0
"152","pnuC","transporter","",1,15,2.47933884297521,"PNUC TRANSPORTER ",FALSE,FALSE,FALSE,0,0
"153","proV","ABC transporter ATP-binding protein","",1,15,2.47933884297521,"PROV ABC TRANSPORTER ATP-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"154","pyrA","dihydroorotate dehydrogenase 1A","",1,15,2.47933884297521,"PYRA DIHYDROOROTATE DEHYDROGENASE 1A ",FALSE,FALSE,FALSE,0,0
"155","sftA","FtsK/SpoIIIE protein","",1,15,2.47933884297521,"SFTA FTSK/SPOIIIE PROTEIN ",FALSE,FALSE,FALSE,0,0
