"","coef","Gene","Annotation","Non.unique.Gene.name"
"40",0.160097360702386,"ARTP_1","AMINO ACID ABC TRANSPORTER PERIPLASMIC AMINO ACID-BINDING PROTEIN",""
"41",0.159798931643281,"GROUP_7864","GLYCEROL KINASE","GLPK"
"42",0.159675635977884,"GROUP_12020","PTS SYSTEM TRANSPORTER SUBUNIT IID","MANZ_1"
"43",0.15838576610998,"GROUP_4600","MEMBRANE PROTEIN",""
"44",0.158094582375662,"GROUP_6912","IS66 FAMILY ORF1",""
"45",0.158028079323522,"GROUP_10938","PHAGE-LIKE PROTEIN",""
"46",0.157923282163794,"GROUP_5714","PHOU FAMILY","PHOU_2"
"47",0.157635955188922,"GROUP_3334","SPERMIDINE/PUTRESCINE IMPORT ATP-BINDING PROTEIN POTA","MALK_2"
"48",0.156301602596028,"GROUP_10464","23S_RRNA PSEUDOURIDINE SYNTHASE","RLUA3"
"49",0.156198873398552,"RLUA3","23S_RRNA PSEUDOURIDINE SYNTHASE",""
"50",0.155935924019991,"TUF","ELONGATION FACTOR TU",""
"51",0.154916055430081,"GPDA","GLYCEROL-3-PHOSPHATE DEHYDROGENASE (NAD(P)+)",""
"52",0.154013496378111,"GROUP_5356","ADENYLOSUCCINATE LYASE",""
"53",0.153990278857836,"GROUP_17619","UDP-N-ACETYL-D-MANNOSAMINE TRANSFERASE","TAGA"
"54",0.153126008457504,"GROUP_6287","ATP-BINDING TRANSPORT PROTEIN","METN2"
"55",0.153124907687168,"GROUP_9948","LIPOPROTEIN PUTATIVE",""
"56",0.152433545861673,"GROUP_2446","MEMBRANE PROTEIN",""
"57",0.152116358468104,"NANA_1","SIALIDASE A (NEURAMINIDASE A)",""
"58",0.150952030490032,"GROUP_11443","ABC TRANSPORTER PERMEASE","CBIQ"
"59",0.150616991864174,"CBIQ","ABC TRANSPORTER PERMEASE",""
"60",0.14961079124843,"GROUP_6957","SORTASE-LIKE ACYLTRANSFERASE",""
"61",0.147669401894264,"GROUP_13412","ASPARTATE-SEMIALDEHYDE DEHYDROGENASE","ASD"
"62",0.147404688448542,"GROUP_12755","ABC TRANSPORTER ATP-BINDING PROTEIN","MACB_1"
"63",0.146883286355463,"GROUP_17536","PUTATIVE GALACTOSYL TRANSFERASE","GSPA_1"
"64",0.146723575028108,"YHEI_2","ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE",""
"65",0.146577009181772,"GROUP_5937","POLAR AMINO ACID ABC UPTAKE TRANSPORTER SUBSTRATE BINDING PROTEIN","FLIY"
"66",0.145745343208353,"GROUP_10103","INVOLVED IN TRANSFORMATION",""
"67",0.145282631464726,"ASD","ASPARTATE-SEMIALDEHYDE DEHYDROGENASE",""
"68",0.144650766139031,"GROUP_10102","INVOLVED IN TRANSFORMATION",""
"69",0.143325133109628,"GROUP_11917","DIHYDROOROTATE DEHYDROGENASE ELECTRON TRANSFER SUBUNIT","PYRDII"
"70",0.143187852941264,"GROUP_12701","FIBRONECTIN/FIBRINOGEN BINDING PROTEIN",""
"71",0.143063919724304,"GROUP_8324","PHAGE INTEGRASE","XERD"
"72",0.142988814021918,"GROUP_12703","FIBRONECTIN/FIBRINOGEN BINDING PROTEIN",""
"73",0.142595589350017,"GROUP_9208","GNAT FAMILY ACETYLTRANSFERASE",""
"74",0.142359528568797,"LICD","LPS BIOSYNTHESIS PROTEIN",""
"75",0.141429460818081,"PHTE-TRUNCATION","PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN E",""
"76",0.140955804766777,"COAE","DEPHOSPHO-COA KINASE",""
"77",0.140304800988104,"GROUP_8064","S1 RNA-BINDING DOMAIN-CONTAINING PROTEIN","YHGF"
"78",0.137760674289228,"GROUP_5743","DEPHOSPHO-COA KINASE","COAE"
"79",0.136890730213691,"GROUP_2239","GP24",""
"80",0.136828001411187,"HAEIIIM","TYPE II DNA MODIFICATION METHYLTRANSFERASE TRUNCATION",""
"81",0.136291582420818,"PYRDII","DIHYDROOROTATE DEHYDROGENASE ELECTRON TRANSFER SUBUNIT",""
"82",0.135595590464716,"GROUP_13173","TYPE II DNA MODIFICATION METHYLTRANSFERASE TRUNCATION","HAEIIIM"
"83",0.135300831196272,"GROUP_5220","ALPHA/BETA HYDROLASE RELATED PROTEIN",""
"84",0.135219534654409,"GROUP_3777","PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN E",""
"85",0.13435243750967,"GROUP_5104","SER/THR PROTEIN PHOSPHATASE FAMILY PROTEIN",""
"86",0.132382913829022,"YHGF","S1 RNA-BINDING DOMAIN-CONTAINING PROTEIN",""
"87",0.132209908446189,"GROUP_8990","TRANSCRIPTIONAL ACTIVATOR TENA TENA/THI-4 FAMILY PROTEIN","TENA_2"
"88",0.132156679989324,"GPMA_2","PHOSPHOGLYCERATE MUTASE",""
"89",0.131965934179576,"GROUP_10547","ABC TRANSPORTER ATP-BINDING PROTEIN","MACB_2"
"90",0.130789588334038,"DLTC","D-ALANYL CARRIER PROTEIN DCP",""
"91",0.128703052932753,"GROUP_7301","PUTATIVE METAL-DEPENDENT MEMBRANE PROTEASE",""
"92",0.128473254015771,"GROUP_287","INTEGRASE CORE SUBUNIT","IS861-TRUNCATION"
"93",0.128058316565255,"POTD_2","ABC TRANSPORTER SPERMIDINE/PUTRESCINE-BINDING PROTEIN",""
"94",0.12798350366771,"GROUP_13472","GLYCEROL-3-PHOSPHATE DEHYDROGENASE (NAD(P)+)","GPDA"
"95",0.127661803826887,"AROD","3-DEHYDROQUINATE DEHYDRATASE (3-DEHYDROQUINASE) (TYPE I DHQASE)",""
"96",0.127504598220656,"GROUP_11145","3-DEHYDROQUINATE DEHYDRATASE (3-DEHYDROQUINASE) (TYPE I DHQASE)","AROD"
"97",0.127475095439983,"GROUP_7283","ABC TRANSPORTER SPERMIDINE/PUTRESCINE-BINDING PROTEIN","POTD_2"
"98",0.127342295010808,"GROUP_6730","ABC TRANSPORTER ATP-BINDING PROTEIN","ECSA_3"
"99",0.126510009366075,"GROUP_2206","ABC TRANSPORTER MEMBRANE PROTEIN",""
"100",0.126434531648398,"GROUP_4361","INTEGRAL MEMBRANE PROTEIN",""
"101",0.126279106565404,"GROUP_4366","INTEGRAL MEMBRANE PROTEIN",""
"102",0.125066699450357,"GROUP_5217","ALPHA/BETA HYDROLASE RELATED PROTEIN",""
"103",0.124562396840597,"GROUP_8013","PHOSPHOGLYCERATE MUTASE","GPMA_2"
"104",0.121382930575877,"GROUP_7220","INTEGRASE",""
"105",0.120517708937883,"STRH_1","ENDO-BETA-N-ACETYLGLUCOSAMINIDASE",""
"106",0.119380028263914,"GROUP_12524","ACETYLTRANSFERASE","BLTD"
"107",0.119358265595417,"GROUP_4154","NA+ EXPORT ABC ABC TRANSPORTER MEMBRANE-SPANNING PERMEASE","YHAP"
"108",0.118420038390191,"GROUP_13382","PHAGE-RELATED MINOR TAIL PROTEIN",""
"109",0.118363837293628,"GROUP_9587","GLYCOSYL HYDROLASES FAMILY 32","SCRB"
"110",0.116860707247543,"GROUP_9558","PEPTIDASE T","PEPT"
"111",0.114658786191965,"GROUP_13988","ABC TRANSPORTER ATP-BINDING PROTEIN",""
"112",0.114475734698623,"GROUP_12691","PHAGE SINGLE-STRAND DNA BINDING PROTEIN","SSB1"
"113",0.114320809654871,"GROUP_10173","SINGLE-STRAND BINDING PROTEIN","SSB"
"114",0.114223343154516,"GROUP_3087","O-ACETYLHOMOSERINE SULFHYDRYLASE","MDEA"
"115",0.113063041534301,"GROUP_13207","PHOSPHOTRANSFERASE",""
"116",0.111755450117654,"INT-TN_2","DNA-BINDING PROTEIN",""
"117",0.111102317655896,"GROUP_2641","PTS SYSTEM GALACTOSE-SPECIFIC TRANSPORTER SUBUNIT IIB","LEPA"
"118",0.111023587245616,"GROUP_17452","PHAGE PORTAL PROTEIN HK97 FAMILY",""
"119",0.109704238312083,"GROUP_2485","MEMBRANE PROTEIN","LEUB"
"120",0.109555611175443,"MTLD","MANNITOL-1-PHOSPHATE 5-DEHYDROGENASE",""
"121",0.107948745229244,"BET","PHAGE RECOMBINATION PROTEIN BET",""
"122",0.107618818348486,"GROUP_2423","MEMBRANE PROTEIN",""
"123",0.10737078616988,"GROUP_9036","PUTATIVE HISTONE ACETYLTRANSFERASE",""
"124",0.1072547066979,"GROUP_14734","MEMBRANE PROTEIN",""
"125",0.106012833019421,"GROUP_2706","PROPHAGE PROTEIN",""
"126",0.105915804270127,"CBIO_1","PUTATIVE HISTONE ACETYLTRANSFERASE",""
"127",0.105811417058568,"GROUP_7572","LEUCINE-RICH PROTEIN","LRP"
"128",0.105662208766852,"GROUP_6350","GLYOXALASE FAMILY PROTEIN","CATE"
"129",0.105107222792122,"LRP","LEUCINE-RICH PROTEIN",""
"130",0.105079346190181,"GROUP_1575","TN5253 BACTERIOCINE PUTATIVE",""
"131",0.103445354942632,"GROUP_5357","ADENYLOSUCCINATE LYASE",""
"132",0.103261206633573,"SAPB_2","MGTC/SAPB TRANSPORTER",""
"133",0.103152401156045,"CBPG","CHOLINE BINDING PROTEIN G",""
"134",0.102813847622605,"GROUP_2981","PUTATIVE FE-S OXIDOREDUCTASE",""
"135",0.1023600004222,"GROUP_6104","MAJOR FACILITATOR SUPERFAMILY PERMEASE",""
"136",0.10233940913227,"GROUP_16273","ADENYLOSUCCINATE LYASE",""
"137",0.101709348698497,"GROUP_2983","PUTATIVE FE-S OXIDOREDUCTASE",""
"138",0.101657592146356,"THIE_2","THIAMINE-PHOSPHATE PYROPHOSPHORYLASE",""
"139",0.101596296978724,"GROUP_6469","LEADER PEPTIDASE",""
"140",0.101354180589954,"AQPZ2","AQUAPORIN Z-WATER CHANNEL PROTEIN",""
"141",0.100117630269742,"GROUP_6747","COBALT ABC TRANSPORTER ATP-BINDING PROTEIN","CBIO"
"142",0.0994330308781047,"CLPC_1","GROUP II INTRON MATURASE",""
"143",0.099131732330928,"GROUP_3182","PUTTAIVE FTSX-FAMILY TRANSPORT PROTEIN","MACB_6"
"144",0.0986439582976682,"CBIO","COBALT ABC TRANSPORTER ATP-BINDING PROTEIN",""
"145",0.0981951171030241,"YFNA","AMINO ACID PERMEASE FAMILY PROTEIN",""
"146",0.0980541426872565,"SSB","SINGLE-STRAND BINDING PROTEIN",""
"147",0.0978857337539683,"GROUP_1980","U32 FAMILY PEPTIDASE","YHBU_1"
"148",0.0974371428288509,"GROUP_3425","ACETYLTRANSFERASE GNAT FAMILY","YDAF_5"
"149",0.0972733886443236,"GROUP_14020","GLYCEROL FACILITATOR-AQUAPORIN","GLA"
"150",0.0970940288207347,"GROUP_5930","POLAR AMINO ACID ABC UPTAKE TRANSPORTER SUBSTRATE BINDING PROTEIN","FLIY"
"151",0.0969563311241636,"LACA_1","EXOPOLYSACCHARIDE BIOSYNTHESIS PROTEIN ACETYLTRANSFERASE",""
"152",0.0969103691768571,"GROUP_5170","ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN","POTA_1"
"153",0.0961552215516523,"HSDS_3","TYPE I RESTRICTION-MODIFICATION SYSTEM SUBUNIT S",""
"154",0.0961033496453041,"LACZ","BETA-GALACTOSIDASE",""
"155",0.0958541693898661,"GROUP_11929","EXCRETED PEPTIDE",""
"156",0.0958383611704661,"GROUP_118","N-ETHYLAMMELINE CHLOROHYDROLASE",""
"157",0.095622625874697,"GROUP_2073","COMPETENCE-SPECIFIC GLOBAL TRANSCRIPTION MODULATOR","NUSG"
"158",0.095541104431065,"GROUP_4163","NA+ ABC TRANSPORTER ATP-BINDING PROTEIN","ECSA_2"
"159",0.095525201134542,"NFRA2","NITROREDUCTASE NADPH-FLAVIN OXIDOREDUCTASE",""
"160",0.0954374969077773,"GROUP_8216","MUTT/NUDIX FAMILY PROTEIN; 78-DIHYDRO-8-OXOGUANINE-TRIPHOSPHATASE",""
"161",0.0943899234939634,"GROUP_12343","PTS SYSTEM TRANSPORTER SUBUNIT IID","MANZ_3"
"162",0.0942888531950839,"MSBA_1","ABC TRANSPORTER ATP-BINDING PROTEIN",""
"163",0.0940834611498846,"GROUP_3192","NITROREDUCTASE NADPH-FLAVIN OXIDOREDUCTASE","NFRA2"
"164",0.0935541016223213,"GROUP_11429","SPERMIDINE SYNTHASE","SPEE"
"165",0.0934276922891927,"DPS","DPS FAMILY PEROXIDE RESISTANCE PROTEIN",""
"166",0.0933036709135806,"GROUP_12342","PTS SYSTEM TRANSPORTER SUBUNIT IID","MANZ_3"
"167",0.0925169909429699,"GROUP_2984","RADICAL SAM FAMILY PROTEIN",""
"168",0.0923684645389373,"GROUP_4430","GROUP II INTRON MATURASE","CLPC_1"
"169",0.0919641257883834,"GROUP_5294","ABC TRANSPORTER ATP-BINDING PROTEIN","ARTM_1"
"170",0.0913205436325049,"GROUP_10399","DRTGG DOMAIN/CBS DOMAIN-CONTAINING PROTEIN",""
"171",0.0912478703736342,"GROUP_15185","ABC TRANSPORTER TRANSMEMBRANE PROTEIN VEXP3","VEXP3"
"172",0.0910146428015129,"VEXP3","ABC TRANSPORTER TRANSMEMBRANE PROTEIN VEXP3",""
"173",0.0906503983087141,"GROUP_14454","BACTERIOPHAGE PI2 PROTEIN 37",""
"174",0.0904490984531862,"GROUP_14953","PHAGE PROTEIN",""
"175",0.0903764326885372,"GROUP_7251","TRANSCRIPTION ANTITERMINATOR LICT","LICT"
"176",0.0903713249893095,"GROUP_1581","TN5253 BACTERIOCINE PUTATIVE",""
"177",0.0903328031433265,"GROUP_15797","PROPHAGE LAMBDASA2 PROTEASE",""
"178",0.0902683934514629,"GROUP_16793","PHI13 FAMILY PHAGE MAJOR TAIL PROTEIN",""
"179",0.0902582205989944,"GROUP_16797","PROPHAGE LAMBDASA2 TERMINASE LARGE SUBUNIT",""
"180",0.0902263211036176,"GROUP_17443","PHAGE HEAD-TAIL ADAPTOR",""
"181",0.0902214594851291,"GROUP_17456","PROPHAGE LAMBDASA2 SITE-SPECIFIC RECOMBINASE PHAGE INTEGRASE FAMILY PROTEIN",""
"182",0.0902191030047949,"GROUP_19649","BACTERIOPHAGE TRANSCRIPTIONAL ACTIVATOR",""
"183",0.0900662833076714,"GROUP_3485","GLYCOSYL TRANSFERASE FAMILY PROTEIN","MSHA"
"184",0.0900198628294501,"GROUP_8218","ABC TRANSPORTER ATP-BINDING PROTEIN","YJJK"
"185",0.0896804853520977,"GROUP_126","CHLOROHYDROLASE",""
"186",0.0894244023187478,"GROUP_6951","GLYCOSYL HYDROLASE","GMUD_1"
"187",0.0892405593392476,"GROUP_12072","FIC PROTEIN FAMILY",""
"188",0.0891528197694869,"GLGA","GLYCOGEN SYNTHASE",""
"189",0.0888900199250824,"LICT","TRANSCRIPTION ANTITERMINATOR LICT",""
"190",0.0887429150218759,"GMUD_1","GLYCOSYL HYDROLASE",""
"191",0.0885327786051861,"GROUP_8523","ACETYLTRANSFERASE GNAT FAMILY","PAIA"
"192",0.0885152983314753,"LOLD","ABC TRANSPORTER ATP-BINDING PROTEIN VEXP2",""
"193",0.088093671197333,"GROUP_11088","GLYCOSYLTRANSFERASE","GSPA_2"
"194",0.088036714566863,"GROUP_13556","PHAGE REPLICATION PROTEIN",""
"195",0.0879037708102443,"GROUP_15637","ABC TRANSPORTER ATP-BINDING PROTEIN VEXP2","LOLD"
"196",0.0877623506991463,"REGX3","VNCR RESPONSE REGULATOR",""
"197",0.0876084978663526,"GROUP_9793","PUTATIVE TRANSCRIPTIONAL REGULATOR",""
"198",0.0873222286148005,"LTRA_2","GROUP II INTRON MATURASE",""
"199",0.0866768279198351,"GROUP_536","PHAGE HYALURONIDASE","PBLB"
"200",0.086254574229305,"GROUP_6106","MAJOR FACILITATOR SUPERFAMILY PERMEASE",""
"201",0.0859225599730785,"GROUP_13438","MAJOR FACILITATOR SUPERFAMILY TRANSPORTER-EFFLUX",""
"202",0.0856233088417239,"GROUP_6267","ACETYLTRANSFERASE",""
"203",0.0856134730136441,"GROUP_14326","FERREDOXIN",""
"204",0.0853883077230427,"GROUP_8097","16S RIBOSOMAL RNA METHYLTRANSFERASE RSME","RSME"
"205",0.0851664613077013,"GROUP_15047","VNCR RESPONSE REGULATOR","REGX3"
"206",0.0850663941207366,"GROUP_7185","MALTOSE/MALTODEXTRIN ABC TRANSPORTER MALTOSE/MALTODEXTRIN-BINDING PROTEIN","MALX"
"207",0.0849977241443436,"GROUP_12259","BACTERIOCIN BLPJ","BLPK"
"208",0.0838498779484702,"MUTR","TRANSCRIPTIONAL REGULATOR",""
"209",0.0838219837876499,"GROUP_1977","U32 FAMILY PEPTIDASE","YHBU_1"
"210",0.0837925714437187,"RSME","16S RIBOSOMAL RNA METHYLTRANSFERASE RSME",""
"211",0.0835600010118654,"GROUP_1566","TN5253 BACTERIOCINE PUTATIVE",""
"212",0.0834188686889658,"GROUP_4709","MUTT/NUDIX FAMILY PROTEIN",""
"213",0.0831540977518161,"GROUP_3460","HELIX-TURN-HELIX DOMAIN PROTEIN",""
"214",0.0828392077928626,"GROUP_5966","ABC TRANSPORTER ATP-BINDING PROTEIN","MSBA_1"
"215",0.0827685300557436,"GROUP_5806","ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE","YHEI_2"
"216",0.0826608578546481,"GROUP_2951","MULTIDRUG RESISTANCE PROTEIN 1 (ATP-BINDING CASSETTESUB-FAMILY B MEMBER 1) (P-GLYCOPROTEIN 1) (ANTIGEN)","HLYB"
"217",0.0826000867961376,"GROUP_9760","78-DIHYDRO-8-OXOGUANINE-TRIPHOSPHATASE",""
"218",0.0825300556681961,"GROUP_5162","PTS SYSTEM GALACTITOL-SPECIFIC FAMILY TRANSPORTER SUBUNIT IIC","GATC_1"
"219",0.0824948641443564,"GROUP_6575","TRANSKETOLASE C-TERMINAL SECTION","TKTC"
"220",0.0816022172805318,"GROUP_10910","PERMEASE",""
"221",0.0815531112726497,"GROUP_10909","PERMEASE",""
"222",0.0815173210772386,"GROUP_14733","MEMBRANE PROTEIN",""
"223",0.0814086424750398,"GROUP_8525","ACETYLTRANSFERASE GNAT FAMILY","PAIA"
"224",0.0811590127369448,"GROUP_986","CHLOROHYDROLASE",""
"225",0.0811448736389065,"MTLF","MANNITOL-SPECIFIC PHOSPHOTRANSFERASE EIIA",""
"226",0.0807665235651004,"GROUP_2356","AQUAPORIN Z","AQPZ"
"227",0.0803494679474681,"HEMH","PROTOHEME FERRO-LYASE",""
"228",0.0801558638244551,"GROUP_3094","ABC TRANSPORTER ATP-BINDING PROTEIN","FBPC"
"229",0.0796797749526001,"GROUP_5169","ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN",""
"230",0.0791791762263659,"GROUP_4137","MEMBRANE ASSOCIATED PROTEIN",""
"231",0.078868044501182,"GROUP_11138","PHOSPHATE ABC TRANSPORTER ATP-BINDING PROTEIN","PSTB3_1"
"232",0.0788118458138639,"METN2","ATP-BINDING TRANSPORT PROTEIN",""
"233",0.0785228572921892,"GROUP_2694","GLYCOSYL TRANSFERASE FAMILY 8","GSPA_2"
"234",0.0783406294024035,"GROUP_7717","NOL1/NOP2/SUN FAMILY PROTEIN","RSMF"
"235",0.0780709424099895,"GROUP_4106","ABC TRANSPORTER MEMBRANE-SPANNING PROTEIN",""
"236",0.0773636079991217,"GROUP_11963","MEMBRANE PROTEIN",""
"237",0.0771714561405897,"GROUP_12260","BACTERIOCIN BLPJ","BLPK"
"238",0.0768398282081631,"GROUP_9013","SPFH DOMAIN/BAND 7 FAMILY","QMCA"
"239",0.0767530015056427,"GROUP_8588","TRANSCRIPTIONAL REGULATOR PROTEIN",""
"240",0.0765594200868178,"GROUP_8979","ABC TRANSPORTER ATP-BINDING PROTEIN","FBPC"
"241",0.0765053199938539,"GROUP_8980","ABC TRANSPORTER ATP-BINDING PROTEIN","FBPC"
"242",0.0763374626493502,"GROUP_11218","SERINE HYDROXYMETHYLTRANSFERASE","GLYA"
"243",0.0763165547344848,"GROUP_14426","INTEGRASE",""
"244",0.0759538099767304,"GROUP_7344","CELL WALL SURFACE ANCHOR FAMILY PROTEIN","PSRP"
"245",0.0756036716359195,"GROUP_8548","ALANINE AMINOTRANSFERASE",""
"246",0.0751396165186171,"GROUP_427","MOBILE GENETIC ELEMENT","IS1381-TRUNCATION"
"247",0.0751181203960229,"PSTB3_1","PHOSPHATE ABC TRANSPORTER ATP-BINDING PROTEIN",""
"248",0.0750411457836418,"BLASE","CHOLINE BINDING PROTEIN G",""
"249",0.0750108825402176,"RSMF","NOL1/NOP2/SUN FAMILY PROTEIN",""
"250",0.0749030850362879,"GROUP_6802","SUCROSE PHOSPHORYLASE","GTFA"
"251",0.0748875280772308,"GROUP_6201","PHAGE TERMINASE LARGE SUBUNIT",""
"252",0.0746360551623038,"GROUP_8795","FILAMENTATION INDUCED BY CAMP PROTEIN FIC",""
"253",0.0742847108296555,"GROUP_8793","ATP-DEPENDENT ZN PROTEASE",""
"254",0.0738734854278642,"GROUP_7424","RESPONSE REGULATOR",""
"255",0.0737962596644194,"MANZ_4","PTS SYSTEM MANNOSE/FRUCTOSE/N-ACETYLGALACTOSAMINE-SPECIFIC TRANSPORTER SUBUNIT IID",""
"256",0.0735209318049697,"RPSD","SURFACE ANCHORED PROTEIN",""
"257",0.0734273573882022,"GROUP_11705","PHAGE STRUCTURAL PROTEIN",""
"258",0.0732964686746259,"HPDA","PYRUVATE FORMATE-LYASE 3",""
"259",0.0729473720096719,"GROUP_6084","TRANSLATION FACTOR",""
"260",0.0724597415451376,"GIDA_1","TRNA URIDINE 5-CARBOXYMETHYLAMINOMETHYL MODIFICATION PROTEIN GIDA",""
"261",0.0724146771737937,"GROUP_622","PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN A PRECURSOR","PHTA"
"262",0.072173619281515,"GROUP_6100","PROTOHEME FERRO-LYASE","HEMH"
"263",0.0720396836832238,"GROUP_7380","GAMMA-GLUTAMYLCYSTEINE SYNTHETASE PUTATIVE",""
"264",0.0718820271363966,"GROUP_8861","DNA MISMATCH REPAIR PROTEIN MUTS","HEXA"
"265",0.0717978245182165,"GROUP_8363","METHYLTRANSFERASE",""
"266",0.0716532972377892,"GROUP_2426","MEMBRANE PROTEIN",""
"267",0.0716280148260881,"GROUP_10321","PUTATIVE INTEGRAL MEMBRANE PROTEIN",""
"268",0.0715729111732346,"GROUP_9620","MEMBRANE PROTEIN",""
"269",0.071476504505759,"GLXK","GLYCERATE KINASE",""
"270",0.0714686068297667,"GTFA","SUCROSE PHOSPHORYLASE",""
"271",0.0713649094771616,"GROUP_6286","ATP-BINDING TRANSPORT PROTEIN","METN2"
"272",0.0712386869199109,"GROUP_7772","GNAT FAMILY ACETYLTRANSFERASE",""
"273",0.0712116342346676,"GLGB","14-ALPHA-GLUCAN BRANCHING ENZYME",""
"274",0.0711838137748324,"GROUP_7771","GNAT FAMILY ACETYLTRANSFERASE",""
"275",0.0710582951438831,"GROUP_13690","CHROMOSOME PARTITIONING PROTEIN PARB",""
"276",0.0708983808165917,"GROUP_10138","ZN-FINGER",""
"277",0.0706387982895372,"GROUP_476","MOBILE GENETIC ELEMENT",""
"278",0.0706298686802213,"GROUP_14746","TRNA URIDINE 5-CARBOXYMETHYLAMINOMETHYL MODIFICATION PROTEIN GIDA","GIDA_1"
"279",0.0705706398651228,"MACB_1","BACTERIOCIN IMMUNITY PROTEIN",""
"280",0.0705517819791551,"MALX","MALTOSE/MALTODEXTRIN ABC TRANSPORTER MALTOSE/MALTODEXTRIN-BINDING PROTEIN",""
"281",0.0705063673302914,"GROUP_16770","MARR FAMILY TRANSCRIPTIONAL REGULATOR",""
"282",0.0700301532210044,"DPND","DPND PROTEIN",""
"283",0.0699653718730769,"GROUP_505","PBLB",""
"284",0.0698613303137494,"GROUP_8337","DPS FAMILY PEROXIDE RESISTANCE PROTEIN","DPS"
"285",0.0694846472118644,"GROUP_11007","HAD SUPERFAMILY HYDROLASE","YFNB"
"286",0.0694486890568061,"GROUP_11006","HAD SUPERFAMILY HYDROLASE","YFNB"
"287",0.0691603546315809,"GROUP_2355","AQUAPORIN Z","AQPZ"
