"","Gene","Annotation","Non.unique.Gene.name","ac_change_0","ac_change_1","ac_change_NA","ratio","gene.annotate","phage","hypothetical","transposase","caps","exclude"
"24","group_17536","putative galactosyl transferase","gspA_1",8,20,1,3.28703703703704,"GROUP_17536 PUTATIVE GALACTOSYL TRANSFERASE GSPA_1",FALSE,FALSE,FALSE,0,0
"25","group_12897","MHP","",7,17,2,3.19312169312169,"GROUP_12897 MHP ",FALSE,FALSE,FALSE,0,0
"26","group_10399","DRTGG domain/CBS domain-containing protein","",3,7,NA,3.0679012345679,"GROUP_10399 DRTGG DOMAIN/CBS DOMAIN-CONTAINING PROTEIN ",FALSE,FALSE,FALSE,0,0
"27","group_1976","U32 family peptidase","yhbU_1",3,7,NA,3.0679012345679,"GROUP_1976 U32 FAMILY PEPTIDASE YHBU_1",FALSE,FALSE,FALSE,0,0
"28","group_4642","amino acid ABC transporter permease","artQ_2",3,7,1,3.0679012345679,"GROUP_4642 AMINO ACID ABC TRANSPORTER PERMEASE ARTQ_2",FALSE,FALSE,FALSE,0,0
"29","group_18294","transcription termination factor","",8,18,2,2.95833333333333,"GROUP_18294 TRANSCRIPTION TERMINATION FACTOR ",FALSE,FALSE,FALSE,0,0
"30","group_4137","membrane associated protein","",4,9,2,2.95833333333333,"GROUP_4137 MEMBRANE ASSOCIATED PROTEIN ",FALSE,FALSE,FALSE,0,0
"31","group_6166","Pneumococcal histidine triad protein D precursor","",5,11,1,2.89259259259259,"GROUP_6166 PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN D PRECURSOR ",FALSE,FALSE,FALSE,0,0
"32","treR","trehalose operon repressor","",6,13,NA,2.84876543209877,"TRER TREHALOSE OPERON REPRESSOR ",FALSE,FALSE,FALSE,0,0
"33","group_10155","binding-protein-dependent transport systems inner membrane component","potH",7,15,NA,2.81746031746032,"GROUP_10155 BINDING-PROTEIN-DEPENDENT TRANSPORT SYSTEMS INNER MEMBRANE COMPONENT POTH",FALSE,FALSE,FALSE,0,0
"34","group_504","PblB","pblB",8,17,2,2.79398148148148,"GROUP_504 PBLB PBLB",FALSE,FALSE,FALSE,0,0
"35","group_8363","methyltransferase","",11,22,1,2.62962962962963,"GROUP_8363 METHYLTRANSFERASE ",FALSE,FALSE,FALSE,0,0
"36","amiE","peptide ABC transporter ATP-binding protein","",8,16,1,2.62962962962963,"AMIE PEPTIDE ABC TRANSPORTER ATP-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"37","group_10265","peptide ABC transporter ATP-binding protein","amiE",8,16,1,2.62962962962963,"GROUP_10265 PEPTIDE ABC TRANSPORTER ATP-BINDING PROTEIN AMIE",FALSE,FALSE,FALSE,0,0
"38","group_10447","Phage gp6-like head-tail connector protein","",8,16,2,2.62962962962963,"GROUP_10447 PHAGE GP6-LIKE HEAD-TAIL CONNECTOR PROTEIN ",FALSE,FALSE,FALSE,0,0
"39","group_384","fusion of IS1381 orf A and B","",6,12,1,2.62962962962963,"GROUP_384 FUSION OF IS1381 ORF A AND B ",FALSE,FALSE,FALSE,0,0
"40","group_5481","bifunctional protein biotin operon repressor; biotin--[acetyl-CoA-carboxylase] synthetase","birA",4,8,2,2.62962962962963,"GROUP_5481 BIFUNCTIONAL PROTEIN BIOTIN OPERON REPRESSOR; BIOTIN--[ACETYL-COA-CARBOXYLASE] SYNTHETASE BIRA",FALSE,FALSE,FALSE,0,0
"41","group_6171","Pneumococcal histidine triad protein D precursor","",4,8,1,2.62962962962963,"GROUP_6171 PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN D PRECURSOR ",FALSE,FALSE,FALSE,0,0
"42","potH","binding-protein-dependent transport systems inner membrane component","",9,17,NA,2.48353909465021,"POTH BINDING-PROTEIN-DEPENDENT TRANSPORT SYSTEMS INNER MEMBRANE COMPONENT ",FALSE,FALSE,FALSE,0,0
"43","group_6640","surface anchored protein","",6,11,4,2.41049382716049,"GROUP_6640 SURFACE ANCHORED PROTEIN ",FALSE,FALSE,FALSE,0,0
"44","group_9247","glycerophosphoryl diester phosphodiesterase","glpQ2",10,18,NA,2.36666666666667,"GROUP_9247 GLYCEROPHOSPHORYL DIESTER PHOSPHODIESTERASE GLPQ2",FALSE,FALSE,FALSE,0,0
"45","group_5008","glycogen synthase","glgA",5,9,4,2.36666666666667,"GROUP_5008 GLYCOGEN SYNTHASE GLGA",FALSE,FALSE,FALSE,0,0
"46","group_9827","CoA-binding protein","yccU",5,9,1,2.36666666666667,"GROUP_9827 COA-BINDING PROTEIN YCCU",FALSE,FALSE,FALSE,0,0
"47","yccU","CoA-binding protein","",5,9,1,2.36666666666667,"YCCU COA-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"48","group_4134","Lmo2277 protein","",4,7,2,2.30092592592593,"GROUP_4134 LMO2277 PROTEIN ",FALSE,FALSE,FALSE,0,0
"49","artP_1","amino acid ABC transporter periplasmic amino acid-binding protein","",6,10,4,2.19135802469136,"ARTP_1 AMINO ACID ABC TRANSPORTER PERIPLASMIC AMINO ACID-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"50","dltC","D-alanyl carrier protein DCP","",11,18,NA,2.15151515151515,"DLTC D-ALANYL CARRIER PROTEIN DCP ",FALSE,FALSE,FALSE,0,0
"51","group_12836","ferric cations import ATP-binding protein FbpC","potA_2",16,25,2,2.05439814814815,"GROUP_12836 FERRIC CATIONS IMPORT ATP-BINDING PROTEIN FBPC POTA_2",FALSE,FALSE,FALSE,0,0
"52","group_5205","methyltransferase small domain superfamily protein","ubiE_2",11,17,7,2.03198653198653,"GROUP_5205 METHYLTRANSFERASE SMALL DOMAIN SUPERFAMILY PROTEIN UBIE_2",FALSE,FALSE,FALSE,0,0
"53","group_12220","holliday junction resolvase","",12,18,1,1.97222222222222,"GROUP_12220 HOLLIDAY JUNCTION RESOLVASE ",FALSE,FALSE,FALSE,0,0
"54","group_2520","serine/threonine protein kinase","",8,12,NA,1.97222222222222,"GROUP_2520 SERINE/THREONINE PROTEIN KINASE ",FALSE,FALSE,FALSE,0,0
"55","group_476","mobile genetic element","",8,12,1,1.97222222222222,"GROUP_476 MOBILE GENETIC ELEMENT ",FALSE,FALSE,FALSE,0,0
"56","ecfA1_2","ABC transporter ATP-binding protein","",6,9,4,1.97222222222222,"ECFA1_2 ABC TRANSPORTER ATP-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"57","group_14843","adhesion lipoprotein","lmb",6,9,4,1.97222222222222,"GROUP_14843 ADHESION LIPOPROTEIN LMB",FALSE,FALSE,FALSE,0,0
"58","group_14981","histidine kinase","saeS",4,6,1,1.97222222222222,"GROUP_14981 HISTIDINE KINASE SAES",FALSE,FALSE,FALSE,0,0
"59","group_15891","ParB-like nuclease domain","",4,6,NA,1.97222222222222,"GROUP_15891 PARB-LIKE NUCLEASE DOMAIN ",FALSE,FALSE,FALSE,0,0
"60","group_5335","argininosuccinate synthase","argG",4,6,5,1.97222222222222,"GROUP_5335 ARGININOSUCCINATE SYNTHASE ARGG",FALSE,FALSE,FALSE,0,0
"61","group_9587","glycosyl hydrolases family 32","scrB",4,6,2,1.97222222222222,"GROUP_9587 GLYCOSYL HYDROLASES FAMILY 32 SCRB",FALSE,FALSE,FALSE,0,0
"62","group_11821","hydrolase","yihX",15,22,1,1.92839506172839,"GROUP_11821 HYDROLASE YIHX",FALSE,FALSE,FALSE,0,0
"63","group_9246","glycerophosphoryl diester phosphodiesterase","glpQ2",15,22,2,1.92839506172839,"GROUP_9246 GLYCEROPHOSPHORYL DIESTER PHOSPHODIESTERASE GLPQ2",FALSE,FALSE,FALSE,0,0
"64","group_5165","PTS system galactitol-specific family transporter subunit IIC","gatC_2",11,16,3,1.91245791245791,"GROUP_5165 PTS SYSTEM GALACTITOL-SPECIFIC FAMILY TRANSPORTER SUBUNIT IIC GATC_2",FALSE,FALSE,FALSE,0,0
"65","group_3349","membrane protein","",9,13,NA,1.89917695473251,"GROUP_3349 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"66","group_5175","lanthionine synthetase C-like protein","",14,20,2,1.87830687830688,"GROUP_5175 LANTHIONINE SYNTHETASE C-LIKE PROTEIN ",FALSE,FALSE,FALSE,0,0
"67","group_6107","major facilitator superfamily permease","",14,20,2,1.87830687830688,"GROUP_6107 MAJOR FACILITATOR SUPERFAMILY PERMEASE ",FALSE,FALSE,FALSE,0,0
"68","macB_1","bacteriocin immunity protein","",14,20,7,1.87830687830688,"MACB_1 BACTERIOCIN IMMUNITY PROTEIN ",FALSE,FALSE,FALSE,0,0
"69","lmb","adhesion lipoprotein","",7,10,5,1.87830687830688,"LMB ADHESION LIPOPROTEIN ",FALSE,FALSE,FALSE,0,0
"70","ptsI","Phosphoenolpyruvate-protein phosphotransferase of PTS system","",12,17,3,1.86265432098765,"PTSI PHOSPHOENOLPYRUVATE-PROTEIN PHOSPHOTRANSFERASE OF PTS SYSTEM ",FALSE,FALSE,FALSE,0,0
"71","group_424","mobile genetic element","IS1381-truncation",15,21,1,1.84074074074074,"GROUP_424 MOBILE GENETIC ELEMENT IS1381-TRUNCATION",FALSE,FALSE,FALSE,0,0
"72","group_9623","Membrane protein","",10,14,4,1.84074074074074,"GROUP_9623 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"73","group_4825","bacteriocin immunity protein","macB_1",5,7,3,1.84074074074074,"GROUP_4825 BACTERIOCIN IMMUNITY PROTEIN MACB_1",FALSE,FALSE,FALSE,0,0
"74","group_5356","adenylosuccinate lyase","",5,7,1,1.84074074074074,"GROUP_5356 ADENYLOSUCCINATE LYASE ",FALSE,FALSE,FALSE,0,0
"75","group_6759","major tail protein","",5,7,1,1.84074074074074,"GROUP_6759 MAJOR TAIL PROTEIN ",FALSE,FALSE,FALSE,0,0
"76","aliB2","lipoprotein putative","",18,25,4,1.8261316872428,"ALIB2 LIPOPROTEIN PUTATIVE ",FALSE,FALSE,FALSE,0,0
"77","group_14777","conserved structural protein putative","",8,11,2,1.80787037037037,"GROUP_14777 CONSERVED STRUCTURAL PROTEIN PUTATIVE ",FALSE,FALSE,FALSE,0,0
"78","hin","site-specific recombinase/resolvase","",14,19,1,1.78439153439153,"HIN SITE-SPECIFIC RECOMBINASE/RESOLVASE ",FALSE,FALSE,FALSE,0,0
"79","group_9143","ornithine decarboxylase family protein","speA",20,27,2,1.775,"GROUP_9143 ORNITHINE DECARBOXYLASE FAMILY PROTEIN SPEA",FALSE,FALSE,FALSE,0,0
"80","fucU","fucose operon FucU protein","",6,8,1,1.75308641975309,"FUCU FUCOSE OPERON FUCU PROTEIN ",FALSE,FALSE,FALSE,0,0
"81","group_7848","large secreted protein","manZ_3",6,8,1,1.75308641975309,"GROUP_7848 LARGE SECRETED PROTEIN MANZ_3",FALSE,FALSE,FALSE,0,0
"82","manY_2","PTS system mannose/fructose/N-acetylgalactosamine-specific transporter subunit IIC","",6,8,1,1.75308641975309,"MANY_2 PTS SYSTEM MANNOSE/FRUCTOSE/N-ACETYLGALACTOSAMINE-SPECIFIC TRANSPORTER SUBUNIT IIC ",FALSE,FALSE,FALSE,0,0
"83","sdrD","surface protein (fragment)","",6,8,2,1.75308641975309,"SDRD SURFACE PROTEIN (FRAGMENT) ",FALSE,FALSE,FALSE,0,0
"84","spoT","metal dependent phosphohydrolase HD region","",17,22,3,1.70152505446623,"SPOT METAL DEPENDENT PHOSPHOHYDROLASE HD REGION ",FALSE,FALSE,FALSE,0,0
"85","group_6643","surface anchored protein","",11,14,5,1.67340067340067,"GROUP_6643 SURFACE ANCHORED PROTEIN ",FALSE,FALSE,FALSE,0,0
"86","group_7561","GNAT family acetyltransferase","",15,19,2,1.66543209876543,"GROUP_7561 GNAT FAMILY ACETYLTRANSFERASE ",FALSE,FALSE,FALSE,0,0
"87","group_13045","Phosphoenolpyruvate-protein phosphotransferase of PTS system","ptsI",12,15,3,1.64351851851852,"GROUP_13045 PHOSPHOENOLPYRUVATE-PROTEIN PHOSPHOTRANSFERASE OF PTS SYSTEM PTSI",FALSE,FALSE,FALSE,0,0
"88","potA_2","ferric cations import ATP-binding protein FbpC","",17,21,1,1.62418300653595,"POTA_2 FERRIC CATIONS IMPORT ATP-BINDING PROTEIN FBPC ",FALSE,FALSE,FALSE,0,0
"89","fsaA","fructose-6-phosphate aldolase","",13,16,1,1.61823361823362,"FSAA FRUCTOSE-6-PHOSPHATE ALDOLASE ",FALSE,FALSE,FALSE,0,0
"90","group_13456","fructose-6-phosphate aldolase","fsaA",13,16,1,1.61823361823362,"GROUP_13456 FRUCTOSE-6-PHOSPHATE ALDOLASE FSAA",FALSE,FALSE,FALSE,0,0
"91","dsbD_2","cytochrome c-type biogenesis protein CcdA","",9,11,5,1.60699588477366,"DSBD_2 CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCDA ",FALSE,FALSE,FALSE,0,0
"92","group_12235","cytochrome c-type biogenesis protein CcdA","dsbD_2",9,11,5,1.60699588477366,"GROUP_12235 CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCDA DSBD_2",FALSE,FALSE,FALSE,0,0
"93","group_4612","Membrane protein","",9,11,4,1.60699588477366,"GROUP_4612 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"94","group_9050","thioredoxin","",14,17,1,1.59656084656085,"GROUP_9050 THIOREDOXIN ",FALSE,FALSE,FALSE,0,0
"95","glgA","glycogen synthase","",10,12,7,1.57777777777778,"GLGA GLYCOGEN SYNTHASE ",FALSE,FALSE,FALSE,0,0
"96","group_11088","glycosyltransferase","gspA_2",5,6,NA,1.57777777777778,"GROUP_11088 GLYCOSYLTRANSFERASE GSPA_2",FALSE,FALSE,FALSE,0,0
"97","group_11485","alpha-L-fucosidase","",5,6,1,1.57777777777778,"GROUP_11485 ALPHA-L-FUCOSIDASE ",FALSE,FALSE,FALSE,0,0
"98","group_13675","membrane spanning protein","yjjP",5,6,3,1.57777777777778,"GROUP_13675 MEMBRANE SPANNING PROTEIN YJJP",FALSE,FALSE,FALSE,0,0
"99","group_15241","L-fuculose phosphate aldolase","fucA",5,6,1,1.57777777777778,"GROUP_15241 L-FUCULOSE PHOSPHATE ALDOLASE FUCA",FALSE,FALSE,FALSE,0,0
"100","group_2083","competence-specific global transcription modulator","",5,6,1,1.57777777777778,"GROUP_2083 COMPETENCE-SPECIFIC GLOBAL TRANSCRIPTION MODULATOR ",FALSE,FALSE,FALSE,0,0
"101","group_3666","major facilitator superfamily permease","",5,6,2,1.57777777777778,"GROUP_3666 MAJOR FACILITATOR SUPERFAMILY PERMEASE ",FALSE,FALSE,FALSE,0,0
"102","group_4437","exopolysaccharide biosynthesis protein acetyltransferase","lacA_1",5,6,NA,1.57777777777778,"GROUP_4437 EXOPOLYSACCHARIDE BIOSYNTHESIS PROTEIN ACETYLTRANSFERASE LACA_1",FALSE,FALSE,FALSE,0,0
"103","group_5252","bacteriocin putative","xlyA",5,6,5,1.57777777777778,"GROUP_5252 BACTERIOCIN PUTATIVE XLYA",FALSE,FALSE,FALSE,0,0
"104","rafA","alpha-galactosidase AgaN","",5,6,1,1.57777777777778,"RAFA ALPHA-GALACTOSIDASE AGAN ",FALSE,FALSE,FALSE,0,0
"105","relE","plasmid stabilisation system protein","",5,6,NA,1.57777777777778,"RELE PLASMID STABILISATION SYSTEM PROTEIN ",FALSE,FALSE,FALSE,0,0
"106","yihX","hydrolase","",16,19,1,1.56134259259259,"YIHX HYDROLASE ",FALSE,FALSE,FALSE,0,0
"107","yfnA","amino acid permease family protein","",11,13,5,1.55387205387205,"YFNA AMINO ACID PERMEASE FAMILY PROTEIN ",FALSE,FALSE,FALSE,0,0
"108","group_2379","Membrane protein","",18,21,10,1.53395061728395,"GROUP_2379 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"109","group_10647","response regulator","vraR_1",12,14,NA,1.53395061728395,"GROUP_10647 RESPONSE REGULATOR VRAR_1",FALSE,FALSE,FALSE,0,0
"110","group_7220","integrase","",12,14,NA,1.53395061728395,"GROUP_7220 INTEGRASE ",FALSE,FALSE,FALSE,0,0
"111","group_10849","gp37","",6,7,1,1.53395061728395,"GROUP_10849 GP37 ",FALSE,FALSE,FALSE,0,0
"112","group_13173","type II DNA modification methyltransferase truncation","haeIIIM",6,7,5,1.53395061728395,"GROUP_13173 TYPE II DNA MODIFICATION METHYLTRANSFERASE TRUNCATION HAEIIIM",FALSE,FALSE,FALSE,0,0
"113","group_3262","lantibiotic synthetase","irtB",6,7,NA,1.53395061728395,"GROUP_3262 LANTIBIOTIC SYNTHETASE IRTB",FALSE,FALSE,FALSE,0,0
"114","group_7864","glycerol kinase","glpK",6,7,6,1.53395061728395,"GROUP_7864 GLYCEROL KINASE GLPK",FALSE,FALSE,FALSE,0,0
"115","haeIIIM","type II DNA modification methyltransferase truncation","",6,7,5,1.53395061728395,"HAEIIIM TYPE II DNA MODIFICATION METHYLTRANSFERASE TRUNCATION ",FALSE,FALSE,FALSE,0,0
"116","cysK","cysteine synthase","",13,15,1,1.51709401709402,"CYSK CYSTEINE SYNTHASE ",FALSE,FALSE,FALSE,0,0
"117","adcA","ABC zinc transporter metal-binding lipoprotein","",7,8,2,1.5026455026455,"ADCA ABC ZINC TRANSPORTER METAL-BINDING LIPOPROTEIN ",FALSE,FALSE,FALSE,0,0
"118","group_11753","Rep protein","",7,8,NA,1.5026455026455,"GROUP_11753 REP PROTEIN ",FALSE,FALSE,FALSE,0,0
"119","PTS-EII_1","PTS system IIA component","",7,8,2,1.5026455026455,"PTS-EII_1 PTS SYSTEM IIA COMPONENT ",FALSE,FALSE,FALSE,0,0
"120","dnaQ","DNA polymerase III subunit epsilon","",8,9,5,1.47916666666667,"DNAQ DNA POLYMERASE III SUBUNIT EPSILON ",FALSE,FALSE,FALSE,0,0
"121","group_1101","lytic amidase (N-acetylmuramoyl-L-alanine amidase)","lytA_5",8,9,NA,1.47916666666667,"GROUP_1101 LYTIC AMIDASE (N-ACETYLMURAMOYL-L-ALANINE AMIDASE) LYTA_5",FALSE,FALSE,FALSE,0,0
"122","group_13394","DNA polymerase III subunit epsilon","dnaQ",8,9,5,1.47916666666667,"GROUP_13394 DNA POLYMERASE III SUBUNIT EPSILON DNAQ",FALSE,FALSE,FALSE,0,0
"123","resA","thioredoxin","",8,9,5,1.47916666666667,"RESA THIOREDOXIN ",FALSE,FALSE,FALSE,0,0
"124","group_11963","membrane protein","",9,10,2,1.46090534979424,"GROUP_11963 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"125","group_2298","PTS system transporter subunit IIA","",9,10,3,1.46090534979424,"GROUP_2298 PTS SYSTEM TRANSPORTER SUBUNIT IIA ",FALSE,FALSE,FALSE,0,0
"126","group_8342","cysteine synthase","cysK",9,10,1,1.46090534979424,"GROUP_8342 CYSTEINE SYNTHASE CYSK",FALSE,FALSE,FALSE,0,0
"127","ltrA_2","Group II intron maturase","",10,11,NA,1.4462962962963,"LTRA_2 GROUP II INTRON MATURASE ",FALSE,FALSE,FALSE,0,0
"128","group_4154","Na+ export ABC ABC transporter membrane-spanning permease","yhaP",11,12,3,1.43434343434343,"GROUP_4154 NA+ EXPORT ABC ABC TRANSPORTER MEMBRANE-SPANNING PERMEASE YHAP",FALSE,FALSE,FALSE,0,0
"129","group_9187","histidine kinase","vraS",12,13,1,1.42438271604938,"GROUP_9187 HISTIDINE KINASE VRAS",FALSE,FALSE,FALSE,0,0
"130","vraS","histidine kinase","",12,13,1,1.42438271604938,"VRAS HISTIDINE KINASE ",FALSE,FALSE,FALSE,0,0
"131","group_10788","single-strand binding protein family","ssb",13,14,NA,1.41595441595442,"GROUP_10788 SINGLE-STRAND BINDING PROTEIN FAMILY SSB",FALSE,FALSE,FALSE,0,0
"132","group_6638","surface anchored protein","",13,14,7,1.41595441595442,"GROUP_6638 SURFACE ANCHORED PROTEIN ",FALSE,FALSE,FALSE,0,0
"133","cbpJ_2","choline binding protein J","",18,19,2,1.38786008230453,"CBPJ_2 CHOLINE BINDING PROTEIN J ",FALSE,FALSE,FALSE,0,0
"134","group_10909","permease","",18,19,1,1.38786008230453,"GROUP_10909 PERMEASE ",FALSE,FALSE,FALSE,0,0
"135","group_10910","permease","",18,19,1,1.38786008230453,"GROUP_10910 PERMEASE ",FALSE,FALSE,FALSE,0,0
"136","group_11410","choline binding protein J","cbpJ_2",18,19,2,1.38786008230453,"GROUP_11410 CHOLINE BINDING PROTEIN J CBPJ_2",FALSE,FALSE,FALSE,0,0
"137","group_5173","lanthionine synthetase C-like protein","",18,19,2,1.38786008230453,"GROUP_5173 LANTHIONINE SYNTHETASE C-LIKE PROTEIN ",FALSE,FALSE,FALSE,0,0
"138","group_8064","S1 RNA-binding domain-containing protein","yhgF",18,19,7,1.38786008230453,"GROUP_8064 S1 RNA-BINDING DOMAIN-CONTAINING PROTEIN YHGF",FALSE,FALSE,FALSE,0,0
"139","group_2262","gp24","",14,14,NA,1.31481481481481,"GROUP_2262 GP24 ",FALSE,FALSE,FALSE,0,0
"140","lacZ","beta-galactosidase","",14,14,2,1.31481481481481,"LACZ BETA-GALACTOSIDASE ",FALSE,FALSE,FALSE,0,0
"141","group_497","type I restriction-modification system S protein","hsdS_1",11,11,5,1.31481481481481,"GROUP_497 TYPE I RESTRICTION-MODIFICATION SYSTEM S PROTEIN HSDS_1",FALSE,FALSE,FALSE,0,0
"142","btr","AraC family transcriptional regulator","",7,7,2,1.31481481481481,"BTR ARAC FAMILY TRANSCRIPTIONAL REGULATOR ",FALSE,FALSE,FALSE,0,0
"143","group_4949","zinc metallopeptidase","",7,7,1,1.31481481481481,"GROUP_4949 ZINC METALLOPEPTIDASE ",FALSE,FALSE,FALSE,0,0
"144","ndvA","ABC transporter ATP-binding protein","",7,7,NA,1.31481481481481,"NDVA ABC TRANSPORTER ATP-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"145","glpO","alpha-glycerophosphate oxidase","",18,18,1,1.31481481481481,"GLPO ALPHA-GLYCEROPHOSPHATE OXIDASE ",FALSE,FALSE,FALSE,0,0
"146","group_11760","transcriptional regulator AlpA family","",12,12,NA,1.31481481481481,"GROUP_11760 TRANSCRIPTIONAL REGULATOR ALPA FAMILY ",FALSE,FALSE,FALSE,0,0
"147","group_2610","beta-galactosidase","lacZ",12,12,2,1.31481481481481,"GROUP_2610 BETA-GALACTOSIDASE LACZ",FALSE,FALSE,FALSE,0,0
"148","group_8065","S1 RNA-binding domain-containing protein","yhgF",12,12,2,1.31481481481481,"GROUP_8065 S1 RNA-BINDING DOMAIN-CONTAINING PROTEIN YHGF",FALSE,FALSE,FALSE,0,0
"149","group_10792","single-strand binding protein family","ssb",10,10,2,1.31481481481481,"GROUP_10792 SINGLE-STRAND BINDING PROTEIN FAMILY SSB",FALSE,FALSE,FALSE,0,0
"150","group_11314","membrane protein","",9,9,3,1.31481481481481,"GROUP_11314 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"151","group_11315","membrane protein","",9,9,3,1.31481481481481,"GROUP_11315 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"152","group_5260","LysM domain protein","xlyA",9,9,4,1.31481481481481,"GROUP_5260 LYSM DOMAIN PROTEIN XLYA",FALSE,FALSE,FALSE,0,0
"153","group_8261","major facilitator superfamily permease","",9,9,NA,1.31481481481481,"GROUP_8261 MAJOR FACILITATOR SUPERFAMILY PERMEASE ",FALSE,FALSE,FALSE,0,0
