"","coef","Gene"
"GROUP_423_MOBILE GENETIC ELEMENT",0.580823310130888,"GROUP_423_MOBILE GENETIC ELEMENT"
"GROUP_12220_HOLLIDAY JUNCTION RESOLVASE",0.576435541280754,"GROUP_12220_HOLLIDAY JUNCTION RESOLVASE"
"GROUP_2828_ALPHA-FUCOSIDASE",0.571606641044335,"GROUP_2828_ALPHA-FUCOSIDASE"
"GROUP_8226_ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE",0.569116724238099,"GROUP_8226_ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE"
"GROUP_3994_TRANSCRIPTIONAL REGULATOR",0.567092915109481,"GROUP_3994_TRANSCRIPTIONAL REGULATOR"
"GROUP_11387_ABC TRANSPORTER PERMEASE SUBUNIT",0.555733701240093,"GROUP_11387_ABC TRANSPORTER PERMEASE SUBUNIT"
"GROUP_11377_GLYOXALASE FAMILY PROTEIN",0.552009234682868,"GROUP_11377_GLYOXALASE FAMILY PROTEIN"
"GROUP_1916_PHAGE PORTAL PROTEIN SPP1 FAMILY",0.551003838714131,"GROUP_1916_PHAGE PORTAL PROTEIN SPP1 FAMILY"
"GROUP_2630_TRANSCRIPTIONAL REGULATOR",0.544459938539544,"GROUP_2630_TRANSCRIPTIONAL REGULATOR"
"GLNP_GLUTAMINE ABC TRANSPORTER PERMEASE",0.517629873593044,"GLNP_GLUTAMINE ABC TRANSPORTER PERMEASE"
"GROUP_9558_PEPTIDASE T",0.513432432847766,"GROUP_9558_PEPTIDASE T"
"GROUP_6602_ACETYL XYLAN ESTERASE",0.512600768929397,"GROUP_6602_ACETYL XYLAN ESTERASE"
"LAGD_2_LANTIBIOTIC EXPORT PROTEIN",0.508946325352227,"LAGD_2_LANTIBIOTIC EXPORT PROTEIN"
"GROUP_3097_ABC TRANSPORTER ATP-BINDING PROTEIN",0.503307194329406,"GROUP_3097_ABC TRANSPORTER ATP-BINDING PROTEIN"
"FOKIM_SITE-SPECIFIC DNA-METHYLTRANSFERASE (ADENINE-SPECIFIC)",0.501233848709405,"FOKIM_SITE-SPECIFIC DNA-METHYLTRANSFERASE (ADENINE-SPECIFIC)"
"LICB_2_PTS SYSTEM TRANSPORTER SUBUNIT IIB",0.501183752506042,"LICB_2_PTS SYSTEM TRANSPORTER SUBUNIT IIB"
"GROUP_5936_ABC TRANSPORTER SUBSTRATE BINDING LIPOPROTEIN-AMINO ACID TRANSPORT",0.500863492010965,"GROUP_5936_ABC TRANSPORTER SUBSTRATE BINDING LIPOPROTEIN-AMINO ACID TRANSPORT"
"GROUP_10937_PHAGE-LIKE PROTEIN",0.500549418910352,"GROUP_10937_PHAGE-LIKE PROTEIN"
"GROUP_3190_NITROREDUCTASE NADPH-FLAVIN OXIDOREDUCTASE",0.498019455032456,"GROUP_3190_NITROREDUCTASE NADPH-FLAVIN OXIDOREDUCTASE"
"CBPJ_1_CHOLINE BINDING PROTEIN C",0.494393581431477,"CBPJ_1_CHOLINE BINDING PROTEIN C"
"GROUP_11224_PUTATIVE ATPASE INVOLVED IN DNA REPAIR",0.494003980294871,"GROUP_11224_PUTATIVE ATPASE INVOLVED IN DNA REPAIR"
"GROUP_387_PREDICTED INTEGRAL MEMBRANE PROTEIN",0.493311118299881,"GROUP_387_PREDICTED INTEGRAL MEMBRANE PROTEIN"
"LYTB_4_CHOLINE BINDING PROTEIN J",0.491918558798101,"LYTB_4_CHOLINE BINDING PROTEIN J"
"GROUP_15617_LANTIBIOTIC ABC TRANSPORTER",0.488471415457842,"GROUP_15617_LANTIBIOTIC ABC TRANSPORTER"
"LTRA_1_GROUP II INTRON MATURASE",0.48723016311463,"LTRA_1_GROUP II INTRON MATURASE"
"XPT_XANTHINE PHOSPHORIBOSYLTRANSFERASE",0.487036745521051,"XPT_XANTHINE PHOSPHORIBOSYLTRANSFERASE"
"GROUP_5930_POLAR AMINO ACID ABC UPTAKE TRANSPORTER SUBSTRATE BINDING PROTEIN",0.486864002000794,"GROUP_5930_POLAR AMINO ACID ABC UPTAKE TRANSPORTER SUBSTRATE BINDING PROTEIN"
"GROUP_15600_HLYIII SUPERFAMILY PROTEIN",0.485194534857157,"GROUP_15600_HLYIII SUPERFAMILY PROTEIN"
"GROUP_7930_PROTEIN KINASE",0.481238057913108,"GROUP_7930_PROTEIN KINASE"
"BAG_SURFACE PROTEIN PSPC",0.479654249034241,"BAG_SURFACE PROTEIN PSPC"
"GROUP_641_TYPE I RESTRICTION-MODIFICATION SYSTEM S SUBUNIT PUTATIVE",0.477256329759367,"GROUP_641_TYPE I RESTRICTION-MODIFICATION SYSTEM S SUBUNIT PUTATIVE"
"GROUP_7227_PHAGE PROTEIN",0.477037384635569,"GROUP_7227_PHAGE PROTEIN"
"GROUP_11412_GMP SYNTHASE",0.475008221042106,"GROUP_11412_GMP SYNTHASE"
"GROUP_17174_PTS SYSTEM IIABC COMPONENTS",0.46958512470879,"GROUP_17174_PTS SYSTEM IIABC COMPONENTS"
"GROUP_17570_IMMUNITY REPRESSOR PROTEIN",0.467417580308119,"GROUP_17570_IMMUNITY REPRESSOR PROTEIN"
"GROUP_18436_PUTATIVE PHAGE DNA BINDING PROTEIN",0.465182390540946,"GROUP_18436_PUTATIVE PHAGE DNA BINDING PROTEIN"
"GROUP_8502_ENDO-ALPHA-N-ACETYLGALACTOSAMINIDASE",0.462035612904065,"GROUP_8502_ENDO-ALPHA-N-ACETYLGALACTOSAMINIDASE"
"UVRA_EXCINUCLEASE ABC SUBUNIT A",0.46089453191754,"UVRA_EXCINUCLEASE ABC SUBUNIT A"
"GROUP_5240_PHAGE ANTIREPRESSOR PROTEIN",0.457834620667973,"GROUP_5240_PHAGE ANTIREPRESSOR PROTEIN"
"GROUP_4446_REPLICATION INITIATOR PROTEIN A N-TERMINUS",0.453459174094877,"GROUP_4446_REPLICATION INITIATOR PROTEIN A N-TERMINUS"
"YGAZ_BRANCHED-CHAIN AMINO ACID TRANSPORT PROTEIN",0.453260368153634,"YGAZ_BRANCHED-CHAIN AMINO ACID TRANSPORT PROTEIN"
"GROUP_8316_COF FAMILY PROTEIN",0.451119199792965,"GROUP_8316_COF FAMILY PROTEIN"
"CDD_1_CYTIDINE DEAMINASE",0.451004561892137,"CDD_1_CYTIDINE DEAMINASE"
"GROUP_8786_ATP-DEPENDENT ZN PROTEASE",0.450852894407236,"GROUP_8786_ATP-DEPENDENT ZN PROTEASE"
"GROUP_5092_SER/THR PROTEIN PHOSPHATASE FAMILY PROTEIN",0.449431065008799,"GROUP_5092_SER/THR PROTEIN PHOSPHATASE FAMILY PROTEIN"
"GROUP_10447_PHAGE GP6-LIKE HEAD-TAIL CONNECTOR PROTEIN",0.448965568130039,"GROUP_10447_PHAGE GP6-LIKE HEAD-TAIL CONNECTOR PROTEIN"
"GROUP_9593_RIBOSOME-ASSOCIATED GTPASE",0.441834723237141,"GROUP_9593_RIBOSOME-ASSOCIATED GTPASE"
"GROUP_15392_DNA-BINDING PROTEIN",0.44147152620937,"GROUP_15392_DNA-BINDING PROTEIN"
"GROUP_14093_GNAT FAMILY ACETYLTRANSFERASE",0.441309474817664,"GROUP_14093_GNAT FAMILY ACETYLTRANSFERASE"
"GROUP_4664_ARSENATE REDUCTASE-LIKE GLUTAREDOXIN FAMILY PROTEIN",0.440836957767116,"GROUP_4664_ARSENATE REDUCTASE-LIKE GLUTAREDOXIN FAMILY PROTEIN"
"GROUP_171_CHLOROHYDROLASE",0.440389774917732,"GROUP_171_CHLOROHYDROLASE"
"GROUP_15870_GP49 BACTERIOPHAGE-LIKE PROTEIN",0.437536323282638,"GROUP_15870_GP49 BACTERIOPHAGE-LIKE PROTEIN"
"GROUP_2459_ENDONUCLEASE",0.436611906739134,"GROUP_2459_ENDONUCLEASE"
"GROUP_7561_GNAT FAMILY ACETYLTRANSFERASE",0.43643067247665,"GROUP_7561_GNAT FAMILY ACETYLTRANSFERASE"
"GROUP_4026_BRANCHED-CHAIN AMINO ACID PERMEASE",0.435266971971125,"GROUP_4026_BRANCHED-CHAIN AMINO ACID PERMEASE"
"THIW_THIW SUPERFAMILY PROTEIN",0.434776269694582,"THIW_THIW SUPERFAMILY PROTEIN"
"GROUP_2220_ABC TRANSPORTER PERMEASE",0.434141112870529,"GROUP_2220_ABC TRANSPORTER PERMEASE"
"GROUP_2465_ENDONUCLEASE",0.43312089917333,"GROUP_2465_ENDONUCLEASE"
"GROUP_12510_ABC TRANSPORTER ATP-BINDING PROTEIN",0.429299485473624,"GROUP_12510_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_13737_REGULATOR OF GTFB",0.429154079624277,"GROUP_13737_REGULATOR OF GTFB"
"GROUP_4868_PHAGE PROTEIN",0.428712045897806,"GROUP_4868_PHAGE PROTEIN"
"GROUP_11729_GP29",0.42788460991983,"GROUP_11729_GP29"
"PEPC_AMINOPEPTIDASE",0.424802585795694,"PEPC_AMINOPEPTIDASE"
"BCA_LPXTG CELL WALL SURFACE PROTEIN",0.423407946552739,"BCA_LPXTG CELL WALL SURFACE PROTEIN"
"GROUP_12534_CLASS-V AMINOTRANSFERASE",0.421656350316914,"GROUP_12534_CLASS-V AMINOTRANSFERASE"
"GROUP_8718_SERINE/THREONINE PROTEIN PHOSPHATASE",0.421448296022433,"GROUP_8718_SERINE/THREONINE PROTEIN PHOSPHATASE"
"GP37_PHAGE PROTEIN",0.418473303151638,"GP37_PHAGE PROTEIN"
"GROEL_CHAPERONE GROEL",0.416410344453302,"GROEL_CHAPERONE GROEL"
"GROUP_13130_YLMF PROTEIN",0.415586536780332,"GROUP_13130_YLMF PROTEIN"
"GROUP_1194_SERINE PROTEASE",0.414176527407492,"GROUP_1194_SERINE PROTEASE"
"YBHL_MEMBRANE PROTEIN",0.410772306994149,"YBHL_MEMBRANE PROTEIN"
"DNAD_2_GP19",0.410185238646347,"DNAD_2_GP19"
"GROUP_14726_LANTIBIOTIC ABC TRANSPORTER",0.407938906980855,"GROUP_14726_LANTIBIOTIC ABC TRANSPORTER"
"GROUP_10155_BINDING-PROTEIN-DEPENDENT TRANSPORT SYSTEMS INNER MEMBRANE COMPONENT",0.407450020330186,"GROUP_10155_BINDING-PROTEIN-DEPENDENT TRANSPORT SYSTEMS INNER MEMBRANE COMPONENT"
"GROUP_14130_PUTATIVE UNCHARACTERIZED PROTEIN (HYDROPHILIC)",0.407194462100782,"GROUP_14130_PUTATIVE UNCHARACTERIZED PROTEIN (HYDROPHILIC)"
"GROUP_13472_GLYCEROL-3-PHOSPHATE DEHYDROGENASE (NAD(P)+)",0.406968601766141,"GROUP_13472_GLYCEROL-3-PHOSPHATE DEHYDROGENASE (NAD(P)+)"
"GROUP_2818_GLYCOSYL HYDROLASE FAMILY 31",0.404898317385841,"GROUP_2818_GLYCOSYL HYDROLASE FAMILY 31"
"GROUP_6273_ALPHA MANNOSIDASE",0.404358553712654,"GROUP_6273_ALPHA MANNOSIDASE"
"LYTB_2_PNEUMOCOCCAL SURFACE PROTEIN",0.402973563914197,"LYTB_2_PNEUMOCOCCAL SURFACE PROTEIN"
"GROUP_5264_ALPHA-GALACTOSIDASE",0.402772318465028,"GROUP_5264_ALPHA-GALACTOSIDASE"
"GROUP_7788_PUTATIVE PHAGE LIPOPROTEIN",0.400302771851551,"GROUP_7788_PUTATIVE PHAGE LIPOPROTEIN"
"GROUP_19666_GP9",0.399284528514298,"GROUP_19666_GP9"
"GROUP_10967_ABC TRANSPORTER",0.398438655832528,"GROUP_10967_ABC TRANSPORTER"
"GROUP_13484_16S RRNA METHYLTRANSFERASE GIDB",0.397986001644392,"GROUP_13484_16S RRNA METHYLTRANSFERASE GIDB"
"GROUP_4208_SUGAR HYDROLASE",0.397189800868395,"GROUP_4208_SUGAR HYDROLASE"
"GROUP_12996_IRON ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN",0.396984948448183,"GROUP_12996_IRON ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN"
"GROUP_9884_BS_YKRK FAMILY PROTEIN",0.395943406251608,"GROUP_9884_BS_YKRK FAMILY PROTEIN"
"GROUP_15613_LANTIBIOTIC ABC TRANSPORTER ATP-BINDING PROTEIN",0.39531103488823,"GROUP_15613_LANTIBIOTIC ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_3235_PUTATIVE SURFACE ANCHORED PROTEIN (PSEUDOGENE)",0.387189330467523,"GROUP_3235_PUTATIVE SURFACE ANCHORED PROTEIN (PSEUDOGENE)"
"GROUP_3262_LANTIBIOTIC SYNTHETASE",0.386179632851345,"GROUP_3262_LANTIBIOTIC SYNTHETASE"
"ERM_ERYTHROMYCIN RIBOSOME METHYLASE",0.383142099569282,"ERM_ERYTHROMYCIN RIBOSOME METHYLASE"
"GROUP_4966_CARBAMOYLPHOSPHATE SYNTHASE LARGE SUBUNIT",0.382769131225361,"GROUP_4966_CARBAMOYLPHOSPHATE SYNTHASE LARGE SUBUNIT"
"YESO_2_ABC TRANSPORTER SUGAR TRANSPORTER SUGAR BINDING LIPOPROTEIN-N-ACETYLNEURAMINATE-BINDING PROTEIN",0.382749154161806,"YESO_2_ABC TRANSPORTER SUGAR TRANSPORTER SUGAR BINDING LIPOPROTEIN-N-ACETYLNEURAMINATE-BINDING PROTEIN"
"GROUP_2556_DICARBOXYLATE/AMINO ACID:CATION (NA+ OR H+) SYMPORTER FAMILY PROTEIN",0.379878282400276,"GROUP_2556_DICARBOXYLATE/AMINO ACID:CATION (NA+ OR H+) SYMPORTER FAMILY PROTEIN"
"RRMA_23S_RRNA M1G745 METHYLTRANSFERASE",0.379687604860817,"RRMA_23S_RRNA M1G745 METHYLTRANSFERASE"
"GROUP_3955_MACROLIDE EFFLUX ABC TRANSPORTER MEMBRANE-SPANNING PERMEASE",0.378099159606952,"GROUP_3955_MACROLIDE EFFLUX ABC TRANSPORTER MEMBRANE-SPANNING PERMEASE"
"GROUP_6921_IS66 FAMILY ORF1",0.377001051051309,"GROUP_6921_IS66 FAMILY ORF1"
"GROUP_19762_PHAGE PROTEIN",0.375878971827751,"GROUP_19762_PHAGE PROTEIN"
"GROUP_13685_PROTEIN LPLC",0.375644723399265,"GROUP_13685_PROTEIN LPLC"
"GROUP_4437_EXOPOLYSACCHARIDE BIOSYNTHESIS PROTEIN ACETYLTRANSFERASE",0.375309985702305,"GROUP_4437_EXOPOLYSACCHARIDE BIOSYNTHESIS PROTEIN ACETYLTRANSFERASE"
"GROUP_11095_PTS SYSTEM IIC COMPONENT",0.375229100884604,"GROUP_11095_PTS SYSTEM IIC COMPONENT"
"NUDF_MUTT/NUDIX HYDROLASE FAMILY PROTEIN",0.37489651826533,"NUDF_MUTT/NUDIX HYDROLASE FAMILY PROTEIN"
"GROUP_11452_RIBOSE-5-PHOSPHATE ISOMERASE A",0.373768307354997,"GROUP_11452_RIBOSE-5-PHOSPHATE ISOMERASE A"
"ADHP_ALCOHOL DEHYDROGENASE",0.373110988089702,"ADHP_ALCOHOL DEHYDROGENASE"
"GROUP_8840_PROPHAGE PROTEIN",0.3729356829885,"GROUP_8840_PROPHAGE PROTEIN"
"GROUP_7857_GLYCEROL KINASE",0.37191320382826,"GROUP_7857_GLYCEROL KINASE"
"GROUP_3205_CHOLINE BINDING PROTEIN F",0.371853421163874,"GROUP_3205_CHOLINE BINDING PROTEIN F"
"GROUP_8795_FILAMENTATION INDUCED BY CAMP PROTEIN FIC",0.370439767288024,"GROUP_8795_FILAMENTATION INDUCED BY CAMP PROTEIN FIC"
"GROUP_2538_ENDO-BETA-N-ACETYLGLUCOSAMINIDASE",0.370072763597714,"GROUP_2538_ENDO-BETA-N-ACETYLGLUCOSAMINIDASE"
"GROUP_18667_TRANSCRIPTIONAL REGULATOR",0.370003024457586,"GROUP_18667_TRANSCRIPTIONAL REGULATOR"
"GROUP_5104_SER/THR PROTEIN PHOSPHATASE FAMILY PROTEIN",0.369532261347124,"GROUP_5104_SER/THR PROTEIN PHOSPHATASE FAMILY PROTEIN"
"GROUP_4555_INTEGRAL MEMBRANE PROTEIN",0.369450369029349,"GROUP_4555_INTEGRAL MEMBRANE PROTEIN"
"GROUP_505_PBLB",0.369089950014909,"GROUP_505_PBLB"
"GROUP_815_REPAIR PROTEIN",0.366385685076848,"GROUP_815_REPAIR PROTEIN"
"GROUP_12328_ACETOIN:26-DICHLOROPHENOLINDOPHENOL OXIDOREDUCTASE SUBUNIT ALPHA",0.36584139941508,"GROUP_12328_ACETOIN:26-DICHLOROPHENOLINDOPHENOL OXIDOREDUCTASE SUBUNIT ALPHA"
"GROUP_15332_V-TYPE H+-ATPASE SUBUNIT F",0.364826217725152,"GROUP_15332_V-TYPE H+-ATPASE SUBUNIT F"
"GROUP_11040_GNAT FAMILY ACETYLTRANSFERASE",0.364502330823097,"GROUP_11040_GNAT FAMILY ACETYLTRANSFERASE"
"HGPA_LIPOPROTEIN",0.362113288652242,"HGPA_LIPOPROTEIN"
"GROUP_11006_HAD SUPERFAMILY HYDROLASE",0.361113415627452,"GROUP_11006_HAD SUPERFAMILY HYDROLASE"
"GROUP_15272_SUBTILISIN-LIKE SERINE PROTEASE",0.360178980301874,"GROUP_15272_SUBTILISIN-LIKE SERINE PROTEASE"
"GROUP_12755_ABC TRANSPORTER ATP-BINDING PROTEIN",0.355339502834216,"GROUP_12755_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_8480_AMINO ACID PERMEASE FAMILY PROTEIN",0.350331655318813,"GROUP_8480_AMINO ACID PERMEASE FAMILY PROTEIN"
"GROUP_5295_AMINO ACID ABC TRANSPORTER ATP-BINDING PROTEIN",0.350196623744091,"GROUP_5295_AMINO ACID ABC TRANSPORTER ATP-BINDING PROTEIN"
"YIDA_1_COF FAMILY PROTEIN",0.348352562239239,"YIDA_1_COF FAMILY PROTEIN"
"GPH_2_PUTATIVE HALOACID DEHALOGENASE-LIKE HYDROLASE",0.348026510308495,"GPH_2_PUTATIVE HALOACID DEHALOGENASE-LIKE HYDROLASE"
"GROUP_2234_GP24",0.346317919380022,"GROUP_2234_GP24"
"HSDM_TYPE I RESTRICTION MODIFICATION ENZYME METHYLASE SUBUNIT",0.346274108196438,"HSDM_TYPE I RESTRICTION MODIFICATION ENZYME METHYLASE SUBUNIT"
"CYSE_SERINE O-ACETYLTRANSFERASE",0.345746068028339,"CYSE_SERINE O-ACETYLTRANSFERASE"
"GROUP_9197_PTS SYSTEM TRANSPORTER SUBUNIT IIB",0.345458929274621,"GROUP_9197_PTS SYSTEM TRANSPORTER SUBUNIT IIB"
"INT-TN_1_PROPHAGE SA05 SITE-SPECIFIC RECOMBINASE PHAGE INTEGRASE",0.341552213949014,"INT-TN_1_PROPHAGE SA05 SITE-SPECIFIC RECOMBINASE PHAGE INTEGRASE"
"GROUP_5835_REGULATORY PROTEIN",0.338222190731842,"GROUP_5835_REGULATORY PROTEIN"
"GROUP_8898_PHAGE PROTEIN",0.337757659711064,"GROUP_8898_PHAGE PROTEIN"
"GROUP_18246_PHAGE PROTEIN",0.337629123352754,"GROUP_18246_PHAGE PROTEIN"
"GROUP_4054_ABC TRANSPORTER ATP-BINDING PROTEIN",0.337361579837981,"GROUP_4054_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_6184_PHAGE TERMINASE LARGE SUBUNIT",0.337178092357174,"GROUP_6184_PHAGE TERMINASE LARGE SUBUNIT"
"GROUP_490_INTEGRASE/RECOMBINASE PHAGE INTEGRASE FAMILY",0.336842897505818,"GROUP_490_INTEGRASE/RECOMBINASE PHAGE INTEGRASE FAMILY"
"GROUP_186_SURFACE PROTEIN A",0.335509058194357,"GROUP_186_SURFACE PROTEIN A"
"GROUP_11609_LIN0147",0.33549256345605,"GROUP_11609_LIN0147"
"GROUP_6008_3-ISOPROPYLMALATE DEHYDRATASE SMALL SUBUNIT",0.334624874033205,"GROUP_6008_3-ISOPROPYLMALATE DEHYDRATASE SMALL SUBUNIT"
"PROV_ABC TRANSPORTER ATP-BINDING PROTEIN",0.334585425127786,"PROV_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_2628_TRANSCRIPTIONAL REGULATOR",0.332323082825436,"GROUP_2628_TRANSCRIPTIONAL REGULATOR"
"GROUP_9847_PHAGE PROTEIN",0.331674835468585,"GROUP_9847_PHAGE PROTEIN"
"GROUP_14375_COPG FAMILY PROTEIN",0.331116086395579,"GROUP_14375_COPG FAMILY PROTEIN"
"GROUP_2507_IRON ABC TRANSPORTER PERMEASE",0.330796307231286,"GROUP_2507_IRON ABC TRANSPORTER PERMEASE"
"GROUP_14861_KETOL-ACID REDUCTOISOMERASE",0.329882114829639,"GROUP_14861_KETOL-ACID REDUCTOISOMERASE"
"GROUP_5461_MARR FAMILY TRANSCRIPTIONAL REGULATOR",0.329350708762373,"GROUP_5461_MARR FAMILY TRANSCRIPTIONAL REGULATOR"
"GROUP_15950_YOLD-LIKE PROTEIN",0.329129729025638,"GROUP_15950_YOLD-LIKE PROTEIN"
"SPNII-INTERRUPTED-N_TYPE II RESTRICTION ENDONUCLEASE",0.328863488287172,"SPNII-INTERRUPTED-N_TYPE II RESTRICTION ENDONUCLEASE"
